"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia VILCAS HUAMAN (000)",5937,4920,591,154,272
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",26,,2,2,22
"Profes., científicos e intelectuales (002)",520,186,209,71,54
"Técnicos de nivel medio y trab. asimilados (003)",67,31,10,,26
"Jefes y empleados de oficina (004)",105,11,9,9,76
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",318,298,15,2,3
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2242,2183,57,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",149,115,18,10,6
"Obreros construc.,conf.,papel, fab., instr. (008)",199,138,39,16,6
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1937,1644,188,36,69
"Otra (010)",9,,,,9
"Ocupación no especificada (011)",365,314,44,6,1
"Hombres (012)",4514,3723,461,126,204
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",21,,1,2,18
"Profes., científicos e intelectuales (014)",337,113,140,51,33
"Técnicos de nivel medio y trab. asimilados (015)",52,26,10,,16
"Jefes y empleados de oficina (016)",79,7,8,6,58
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",98,86,8,2,2
"Agricult.trabaj.calif.agrop.y pesqueros (018)",2034,1981,51,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",134,103,16,9,6
"Obreros construc.,conf.,papel, fab., instr. (020)",192,134,36,16,6
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1376,1130,159,32,55
"Otra (022)",9,,,,9
"Ocupación no especificada (023)",182,143,32,6,1
"Mujeres (024)",1423,1197,130,28,68
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",5,,1,,4
"Profes., científicos e intelectuales (026)",183,73,69,20,21
"Técnicos de nivel medio y trab. asimilados (027)",15,5,,,10
"Jefes y empleados de oficina (028)",26,4,1,3,18
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",220,212,7,,1
"Agricult.trabaj.calif.agrop.y pesqueros (030)",208,202,6,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",15,12,2,1,
"Obreros construc.,conf.,papel, fab., instr. (032)",7,4,3,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",561,514,29,4,14
