"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia LA CONVENCION",,,,
"Viviendas particulares (001)",13315,6455,6302,558
"Ocupantes presentes (002)",47142,23356,21776,2010
"Casa independiente",,,,
"Viviendas particulares (004)",9523,5155,3895,473
"Ocupantes presentes (005)",35863,19455,14647,1761
"Departamento en edificio",,,,
"Viviendas particulares (007)",163,115,48,
"Ocupantes presentes (008)",481,348,133,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",575,288,287,
"Ocupantes presentes (011)",1668,860,808,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",2952,855,2055,42
"Ocupantes presentes (014)",8795,2540,6133,122
"Choza o cabaña",,,,
"Viviendas particulares (016)",18,,,18
"Ocupantes presentes (017)",76,,,76
"Vivienda improvisada",,,,
"Viviendas particulares (019)",52,31,9,12
"Ocupantes presentes (020)",182,125,37,20
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",32,11,8,13
"Ocupantes presentes (023)",77,28,18,31
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",12831,6240,6087,504
"Ocupantes presentes (029)",45400,22551,21038,1811
"Casa independiente",,,,
"Viviendas particulares (031)",9152,4979,3741,432
"Ocupantes presentes (032)",34514,18789,14101,1624
"Departamento en edificio",,,,
"Viviendas particulares (034)",162,114,48,
"Ocupantes presentes (035)",478,345,133,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",555,273,282,
"Ocupantes presentes (038)",1609,810,799,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",2880,838,2001,41
"Ocupantes presentes (041)",8568,2488,5963,117
"Choza o cabaña",,,,
"Viviendas particulares (043)",6,,,6
"Ocupantes presentes (044)",19,,,19
"Vivienda improvisada",,,,
"Viviendas particulares (046)",44,25,7,12
"Ocupantes presentes (047)",135,91,24,20
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",32,11,8,13
"Ocupantes presentes (050)",77,28,18,31
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",484,215,215,54
"Ocupantes presentes (056)",1742,805,738,199
"Casa independiente",,,,
"Viviendas particulares (058)",371,176,154,41
"Ocupantes presentes (059)",1349,666,546,137
"Departamento en edificio",,,,
"Viviendas particulares (061)",1,1,,
"Ocupantes presentes (062)",3,3,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",20,15,5,
"Ocupantes presentes (065)",59,50,9,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",72,17,54,1
"Ocupantes presentes (068)",227,52,170,5
"Choza o cabaña",,,,
"Viviendas particulares (070)",12,,,12
"Ocupantes presentes (071)",57,,,57
"Vivienda improvisada",,,,
"Viviendas particulares (073)",8,6,2,
"Ocupantes presentes (074)",47,34,13,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",10065,5331,4472,262
"Ocupantes presentes (110)",34088,18580,14691,817
"Casa independiente",,,,
"Viviendas particulares (112)",6293,4031,2067,195
"Ocupantes presentes (113)",22888,14679,7565,644
"Departamento en edificio",,,,
"Viviendas particulares (115)",163,115,48,
"Ocupantes presentes (116)",481,348,133,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",575,288,287,
"Ocupantes presentes (119)",1668,860,808,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",2952,855,2055,42
"Ocupantes presentes (122)",8795,2540,6133,122
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",52,31,9,12
"Ocupantes presentes (128)",182,125,37,20
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",30,11,6,13
"Ocupantes presentes (131)",74,28,15,31
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",9710,5147,4325,238
"Ocupantes presentes (137)",32814,17895,14187,732
"Casa independiente",,,,
"Viviendas particulares (139)",6039,3886,1981,172
"Ocupantes presentes (140)",21950,14133,7253,564
"Departamento en edificio",,,,
"Viviendas particulares (142)",162,114,48,
"Ocupantes presentes (143)",478,345,133,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",555,273,282,
"Ocupantes presentes (146)",1609,810,799,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",2880,838,2001,41
"Ocupantes presentes (149)",8568,2488,5963,117
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",44,25,7,12
"Ocupantes presentes (155)",135,91,24,20
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",30,11,6,13
"Ocupantes presentes (158)",74,28,15,31
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",355,184,147,24
"Ocupantes presentes (164)",1274,685,504,85
"Casa independiente",,,,
"Viviendas particulares (166)",254,145,86,23
"Ocupantes presentes (167)",938,546,312,80
"Departamento en edificio",,,,
"Viviendas particulares (169)",1,1,,
"Ocupantes presentes (170)",3,3,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",20,15,5,
"Ocupantes presentes (173)",59,50,9,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",72,17,54,1
"Ocupantes presentes (176)",227,52,170,5
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",8,6,2,
"Ocupantes presentes (182)",47,34,13,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",3250,1124,1830,296
"Ocupantes presentes (218)",13054,4776,7085,1193
"Casa independiente",,,,
"Viviendas particulares (220)",3230,1124,1828,278
"Ocupantes presentes (221)",12975,4776,7082,1117
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",18,,,18
"Ocupantes presentes (233)",76,,,76
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",2,,2,
"Ocupantes presentes (239)",3,,3,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",3121,1093,1762,266
"Ocupantes presentes (245)",12586,4656,6851,1079
"Casa independiente",,,,
"Viviendas particulares (247)",3113,1093,1760,260
"Ocupantes presentes (248)",12564,4656,6848,1060
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",6,,,6
"Ocupantes presentes (260)",19,,,19
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",2,,2,
"Ocupantes presentes (266)",3,,3,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",129,31,68,30
"Ocupantes presentes (272)",468,120,234,114
"Casa independiente",,,,
"Viviendas particulares (274)",117,31,68,18
"Ocupantes presentes (275)",411,120,234,57
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (286)",12,,,12
"Ocupantes presentes (287)",57,,,57
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
