"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CHANCHAMAYO (000)",1752,474,1278
"Sin nivel (001)",95,19,76
"Educación inicial (002)",3,,3
"Primaria (003)",392,97,295
"Secundaria (004)",875,246,629
"Superior no univ. incompleta (005)",111,34,77
"Superior no univ. completa (006)",113,35,78
"Superior univ. incompleta (007)",60,12,48
"Superior univ. completa (008)",103,31,72
"De 14 a 29 años (010)",1024,369,655
"Sin nivel (011)",12,4,8
"Educación inicial (012)",3,,3
"Primaria (013)",165,63,102
"Secundaria (014)",598,205,393
"Superior no univ. incompleta (015)",77,30,47
"Superior no univ. completa (016)",83,32,51
"Superior univ. incompleta (017)",40,11,29
"Superior univ. completa (018)",46,24,22
"De 30 a 44 años (020)",464,89,375
"Sin nivel (021)",36,10,26
"Primaria (023)",130,26,104
"Secundaria (024)",199,39,160
"Superior no univ. incompleta (025)",24,4,20
"Superior no univ. completa (026)",21,3,18
"Superior univ. incompleta (027)",13,1,12
"Superior univ. completa (028)",41,6,35
"De 45 a 64 años (030)",217,16,201
"Sin nivel (031)",34,5,29
"Primaria (033)",77,8,69
"Secundaria (034)",67,2,65
"Superior no univ. incompleta (035)",10,,10
"Superior no univ. completa (036)",9,,9
"Superior univ. incompleta (037)",5,,5
"Superior univ. completa (038)",15,1,14
"De 65 y más años (040)",47,,47
"Sin nivel (041)",13,,13
"Primaria (043)",20,,20
"Secundaria (044)",11,,11
"Superior univ. incompleta (047)",2,,2
"Superior univ. completa (048)",1,,1
,,,
"AREA URBANA (050)",1400,359,1041
"Sin nivel (051)",69,12,57
"Educación inicial (052)",3,,3
"Primaria (053)",283,65,218
"Secundaria (054)",706,194,512
"Superior no univ. incompleta (055)",95,26,69
"Superior no univ. completa (056)",100,27,73
"Superior univ. incompleta (057)",53,9,44
"Superior univ. completa (058)",91,26,65
"De 14 a 29 años (060)",767,268,499
"Sin nivel (061)",4,,4
"Educación inicial (062)",3,,3
"Primaria (063)",100,36,64
"Secundaria (064)",452,158,294
"Superior no univ. incompleta (065)",63,22,41
"Superior no univ. completa (066)",71,24,47
"Superior univ. incompleta (067)",33,8,25
"Superior univ. completa (068)",41,20,21
"De 30 a 44 años (070)",407,79,328
"Sin nivel (071)",33,9,24
"Primaria (073)",102,23,79
"Secundaria (074)",182,34,148
"Superior no univ. incompleta (075)",22,4,18
"Superior no univ. completa (076)",20,3,17
"Superior univ. incompleta (077)",13,1,12
"Superior univ. completa (078)",35,5,30
"De 45 a 64 años (080)",189,12,177
"Sin nivel (081)",23,3,20
"Primaria (083)",66,6,60
"Secundaria (084)",62,2,60
"Superior no univ. incompleta (085)",10,,10
"Superior no univ. completa (086)",9,,9
"Superior univ. incompleta (087)",5,,5
"Superior univ. completa (088)",14,1,13
"De 65 y más años (090)",37,,37
"Sin nivel (091)",9,,9
"Primaria (093)",15,,15
"Secundaria (094)",10,,10
"Superior univ. incompleta (097)",2,,2
"Superior univ. completa (098)",1,,1
,,,
"AREA RURAL (100)",352,115,237
"Sin nivel (101)",26,7,19
"Primaria (103)",109,32,77
"Secundaria (104)",169,52,117
"Superior no univ. incompleta (105)",16,8,8
"Superior no univ. completa (106)",13,8,5
"Superior univ. incompleta (107)",7,3,4
"Superior univ. completa (108)",12,5,7
"De 14 a 29 años (110)",257,101,156
"Sin nivel (111)",8,4,4
"Primaria (113)",65,27,38
"Secundaria (114)",146,47,99
"Superior no univ. incompleta (115)",14,8,6
"Superior no univ. completa (116)",12,8,4
"Superior univ. incompleta (117)",7,3,4
"Superior univ. completa (118)",5,4,1
"De 30 a 44 años (120)",57,10,47
"Sin nivel (121)",3,1,2
"Primaria (123)",28,3,25
"Secundaria (124)",17,5,12
"Superior no univ. incompleta (125)",2,,2
"Superior no univ. completa (126)",1,,1
"Superior univ. completa (128)",6,1,5
"De 45 a 64 años (130)",28,4,24
"Sin nivel (131)",11,2,9
"Primaria (133)",11,2,9
"Secundaria (134)",5,,5
"Superior univ. completa (138)",1,,1
"De 65 y más años (140)",10,,10
"Sin nivel (141)",4,,4
"Primaria (143)",5,,5
"Secundaria (144)",1,,1
