"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",14921,37,791,152,132,667,6819,314,239,5352,27,391
"Agric., ganadería, caza y silvicultura (001)",11436,,2,5,3,,6793,,11,4622,,
"Pesca (002)",207,,,,,,26,,1,180,,
"Explotación de minas y canteras (003)",105,,5,8,7,,,64,8,13,,
"Industrias manufactureras (004)",229,,1,6,,,,204,6,12,,
"Suministro de electricidad, gas y agua (005)",1,,,1,,,,,,,,
"Construcción (006)",160,,1,2,,,,6,90,61,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",631,,1,8,1,486,,34,,101,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",50,,,1,,17,,31,,1,,
"Comercio al por mayor (009)",37,,,1,,35,,,,1,,
"Comercio al por menor (010)",544,,1,6,1,434,,3,,99,,
"Hoteles y restaurantes (011)",207,,,4,1,131,,,,71,,
"Trans., almac. y comunicaciones (012)",161,,,4,15,2,,1,115,24,,
"Intermediación financiera (013)",4,,,1,2,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",65,,13,10,8,21,,,,13,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",163,22,4,6,68,4,,2,6,24,27,
"Enseñanza (016)",742,14,726,,,,,,,2,,
"Servicios sociales y de salud (017)",128,,28,75,6,13,,3,1,2,,
"Otras activ. serv.comun.soc y personales (018)",83,1,10,18,4,10,,,,40,,
"Hogares privados con servicio doméstico (019)",185,,,,,,,,,185,,
"Actividad economica no especificada (021)",414,,,4,17,,,,1,1,,391
"Hombres (022)",9289,32,557,113,99,360,5254,277,235,2073,26,263
"Agric., ganadería, caza y silvicultura (023)",6900,,2,4,3,,5229,,10,1652,,
"Pesca (024)",205,,,,,,25,,1,179,,
"Explotación de minas y canteras (025)",95,,4,8,7,,,57,8,11,,
"Industrias manufactureras (026)",196,,1,6,,,,177,5,7,,
"Suministro de electricidad, gas y agua (027)",1,,,1,,,,,,,,
"Construcción (028)",159,,1,2,,,,6,89,61,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",380,,1,7,,290,,32,,50,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",46,,,1,,15,,29,,1,,
"Comercio al por mayor (031)",27,,,1,,25,,,,1,,
