"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PASCO (000)",150717,2618,44560,46181,31476,19481,6401
"Hombres (001)",76788,1306,22757,23404,16291,10063,2967
"Mujeres (002)",73929,1312,21803,22777,15185,9418,3434
"Viviendas particulares (003)",144874,2607,44428,43995,28944,18560,6340
"Hombres (004)",71658,1300,22685,21515,13975,9257,2926
"Mujeres (005)",73216,1307,21743,22480,14969,9303,3414
"Viviendas colectivas (006)",4870,7,94,1796,2184,751,38
"Hombres (007)",4427,4,53,1619,2039,686,26
"Mujeres (008)",443,3,41,177,145,65,12
"Otro tipo (009)",973,4,38,390,348,170,23
"Hombres (010)",703,2,19,270,277,120,15
"Mujeres (011)",270,2,19,120,71,50,8
,,,,,,,
"URBANA (012)",114821,2037,33568,34989,24581,15053,4593
"Hombres (013)",57777,1014,17110,17458,12434,7683,2078
"Mujeres (014)",57044,1023,16458,17531,12147,7370,2515
"Viviendas particulares (015)",110696,2026,33439,33512,22879,14305,4535
"Hombres (016)",54295,1008,17038,16236,10926,7047,2040
"Mujeres (017)",56401,1018,16401,17276,11953,7258,2495
"Viviendas colectivas (018)",3296,7,93,1152,1420,589,35
"Hombres (019)",2907,4,53,1008,1293,526,23
"Mujeres (020)",389,3,40,144,127,63,12
"Otro tipo (021)",829,4,36,325,282,159,23
"Hombres (022)",575,2,19,214,215,110,15
"Mujeres (023)",254,2,17,111,67,49,8
,,,,,,,
"RURAL (024)",35896,581,10992,11192,6895,4428,1808
"Hombres (025)",19011,292,5647,5946,3857,2380,889
"Mujeres (026)",16885,289,5345,5246,3038,2048,919
"Viviendas particulares (027)",34178,581,10989,10483,6065,4255,1805
"Hombres (028)",17363,292,5647,5279,3049,2210,886
"Mujeres (029)",16815,289,5342,5204,3016,2045,919
"Viviendas colectivas (030)",1574,,1,644,764,162,3
"Hombres (031)",1520,,,611,746,160,3
"Mujeres (032)",54,,1,33,18,2,
"Otro tipo (033)",144,,2,65,66,11,
"Hombres (034)",128,,,56,62,10,
"Mujeres (035)",16,,2,9,4,1,
