"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TAYACAJA (000)",89993,27724,24913,17344,13659,6353
"Sin nivel (001)",13103,638,780,2458,5138,4089
"Educación inicial (002)",1562,1467,60,35,,
"Primaria (003)",46437,21585,8138,8812,5990,1912
"Secundaria (004)",24679,4034,13978,4493,1897,277
"Superior no univ. incompleta (005)",1134,,749,273,100,12
"Superior no univ. completa (006)",1024,,401,462,150,11
"Superior univ. incompleta (007)",686,,462,139,80,5
"Superior univ. completa (008)",1368,,345,672,304,47
"PEA (010)",32013,736,10398,10534,7905,2440
"Sin nivel (011)",4495,26,290,966,2008,1205
"Educación inicial (012)",55,12,29,14,,
"Primaria (013)",14135,512,3720,4948,3900,1055
"Secundaria (014)",10546,186,5409,3321,1477,153
"Superior no univ. incompleta (015)",540,,250,201,83,6
"Superior no univ. completa (016)",787,,285,381,116,5
"Superior univ. incompleta (017)",319,,139,108,69,3
"Superior univ. completa (018)",1136,,276,595,252,13
"Ocupada (020)",30831,707,9788,10199,7741,2396
"Sin nivel (021)",4404,23,275,938,1981,1187
"Educación inicial (022)",51,11,28,12,,
"Primaria (023)",13655,499,3543,4777,3802,1034
"Secundaria (024)",10033,174,5056,3210,1444,149
"Superior no univ. incompleta (025)",521,,237,196,82,6
"Superior no univ. completa (026)",752,,261,371,115,5
"Superior univ. incompleta (027)",309,,132,107,67,3
"Superior univ. completa (028)",1106,,256,588,250,12
"Desocupada (030)",1182,29,610,335,164,44
