"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN IGNACIO (000)",43839,40486,1800,944,609
"Hombres (001)",35163,32798,1310,614,441
"Mujeres (002)",8676,7688,490,330,168
"De 06 a 14 años (003)",1281,1224,48,9,
"Hombres (004)",993,948,39,6,
"Mujeres (005)",288,276,9,3,
"De 15 a 29 años (006)",16623,15417,686,302,218
"Hombres (007)",13284,12453,487,193,151
"Mujeres (008)",3339,2964,199,109,67
"De 30 a 44 años (009)",13829,12449,667,426,287
"Hombres (010)",10946,10006,472,268,200
"Mujeres (011)",2883,2443,195,158,87
"De 45 a 64 años (012)",9402,8761,342,203,96
"Hombres (013)",7633,7140,268,143,82
"Mujeres (014)",1769,1621,74,60,14
"De 65 y más años (015)",2704,2635,57,4,8
"Hombres (016)",2307,2251,44,4,8
"Mujeres (017)",397,384,13,,
,,,,,
"URBANA (018)",7544,5926,554,593,471
"Hombres (019)",5231,4136,374,372,349
"Mujeres (020)",2313,1790,180,221,122
"De 06 a 14 años (021)",142,130,11,1,
"Hombres (022)",97,85,11,1,
"Mujeres (023)",45,45,,,
"De 15 a 29 años (024)",2590,2071,200,163,156
"Hombres (025)",1750,1416,126,95,113
"Mujeres (026)",840,655,74,68,43
"De 30 a 44 años (027)",2688,1956,221,290,221
"Hombres (028)",1798,1318,143,181,156
"Mujeres (029)",890,638,78,109,65
"De 45 a 64 años (030)",1742,1405,113,137,87
"Hombres (031)",1277,1024,87,93,73
"Mujeres (032)",465,381,26,44,14
"De 65 y más años (033)",382,364,9,2,7
"Hombres (034)",309,293,7,2,7
"Mujeres (035)",73,71,2,,
,,,,,
"RURAL (036)",36295,34560,1246,351,138
"Hombres (037)",29932,28662,936,242,92
"Mujeres (038)",6363,5898,310,109,46
"De 06 a 14 años (039)",1139,1094,37,8,
"Hombres (040)",896,863,28,5,
"Mujeres (041)",243,231,9,3,
"De 15 a 29 años (042)",14033,13346,486,139,62
"Hombres (043)",11534,11037,361,98,38
"Mujeres (044)",2499,2309,125,41,24
"De 30 a 44 años (045)",11141,10493,446,136,66
"Hombres (046)",9148,8688,329,87,44
"Mujeres (047)",1993,1805,117,49,22
"De 45 a 64 años (048)",7660,7356,229,66,9
"Hombres (049)",6356,6116,181,50,9
"Mujeres (050)",1304,1240,48,16,
"De 65 y más años (051)",2322,2271,48,2,1
"Hombres (052)",1998,1958,37,2,1
"Mujeres (053)",324,313,11,,
