"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANCA SANCOS (000)",10465,7076,3389
"Casa independiente (001)",9438,6937,2501
"Departamento en edificio (002)",13,13,
"Vivienda en quinta (003)",65,65,
"Vivienda en casa de vecindad (004)",32,32,
"Choza o cabaña (005)",883,,883
"Vivienda improvisada (006)",5,5,
"Local no dest.para hab. humana (007)",26,24,2
"Otro tipo (008)",3,,3
