"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LUCANAS (000)",23580,2348,23,7197,8570,997,2500,477,1468
"Agric., ganadería, caza y silvicultura (001)",11783,1951,16,5125,3906,250,303,109,123
"Pesca (002)",5,,,1,1,,2,,1
"Explotación de minas y canteras (003)",2627,54,1,556,1596,136,121,84,79
"Industrias manufactureras (004)",522,17,3,117,279,34,37,10,25
"Suministro de electricidad, gas y agua (005)",32,,,14,9,2,4,,3
"Construcción (006)",587,15,,157,265,37,67,8,38
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2417,127,2,588,1076,157,292,69,106
"Venta, mant.y rep. veh.autom.y motoc. (008)",106,,,12,37,11,29,2,15
"Comercio al por mayor (009)",85,,,12,40,6,17,3,7
"Comercio al por menor (010)",2226,127,2,564,999,140,246,64,84
"Hoteles y restaurantes (011)",587,38,1,160,252,41,56,25,14
"Trans., almac. y comunicaciones (012)",663,8,,65,339,83,107,26,35
"Intermediación financiera (013)",30,,,,1,3,15,1,10
"Activid.inmobil., empres. y de alquiler (014)",237,1,,6,45,21,55,16,93
"Admin.pub. y defensa; p. segur.soc.afil (015)",459,3,,58,135,35,118,28,82
"Enseñanza (016)",1933,,,6,90,98,1035,64,640
"Servicios sociales y de salud (017)",399,5,,6,29,19,166,14,160
"Otras activ. serv.comun.soc y personales (018)",204,8,,31,92,23,28,4,18
"Hogares privados con servicio doméstico (019)",276,18,,64,163,14,14,,3
"Actividad economica no especificada (021)",819,103,,243,292,44,80,19,38
"Hombres (022)",16090,966,13,5162,6532,708,1413,366,930
"Agric., ganadería, caza y silvicultura (023)",8547,841,9,3851,3172,216,252,101,105
"Pesca (024)",5,,,1,1,,2,,1
"Explotación de minas y canteras (025)",2492,40,1,522,1531,127,116,80,75
"Industrias manufactureras (026)",391,11,2,83,214,27,27,10,17
"Suministro de electricidad, gas y agua (027)",27,,,9,9,2,4,,3
"Construcción (028)",567,15,,154,254,36,64,8,36
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1033,15,1,233,499,67,124,41,53
"Venta, mant.y rep. veh.autom.y motoc. (030)",95,,,11,33,11,27,2,11
"Comercio al por mayor (031)",48,,,5,23,2,11,2,5
"Comercio al por menor (032)",890,15,1,217,443,54,86,37,37
"Hoteles y restaurantes (033)",100,1,,27,49,4,11,6,2
"Trans., almac. y comunicaciones (034)",631,8,,60,334,79,95,24,31
"Intermediación financiera (035)",18,,,,1,2,6,1,8
"Activid.inmobil., empres. y de alquiler (036)",188,1,,6,42,15,32,16,76
"Admin.pub. y defensa; p. segur.soc.afil (037)",369,3,,48,115,30,79,24,70
"Enseñanza (038)",962,,,5,44,51,487,31,344
"Servicios sociales y de salud (039)",170,2,,3,13,11,61,7,73
"Otras activ. serv.comun.soc y personales (040)",128,1,,20,60,15,18,2,12
"Hogares privados con servicio doméstico (041)",32,,,14,16,1,,,1
"Actividad economica no especificada (043)",430,28,,126,178,25,35,15,23
"Mujeres (044)",7490,1382,10,2035,2038,289,1087,111,538
