"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SANTA (000)",144012,1336,44978,55379,36344,5975
"Agric., ganadería, caza y silvicultura (001)",17856,468,6080,5470,4433,1405
"Pesca (002)",5238,13,1419,2347,1329,130
"Explotación de minas y canteras (003)",337,,100,128,105,4
"Industrias manufactureras (004)",17414,114,5780,6460,4509,551
"Suministro de electricidad, gas y agua (005)",488,2,120,185,170,11
"Construcción (006)",9941,29,3079,4045,2441,347
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",32462,387,9276,12033,8912,1854
"Venta, mant.y rep. veh.autom.y motoc. (008)",3892,18,1438,1307,1001,128
"Comercio al por mayor (009)",1529,8,634,589,273,25
"Comercio al por menor (010)",27041,361,7204,10137,7638,1701
"Hoteles y restaurantes (011)",7734,96,2442,2672,2153,371
"Trans., almac. y comunicaciones (012)",14181,78,5075,5700,2916,412
"Intermediación financiera (013)",737,,315,339,79,4
"Activid.inmobil., empres. y alquileres (014)",9603,11,3435,4173,1785,199
"Admin.pub. y defensa; p. segur.soc.afil (015)",3974,,871,1758,1277,68
"Enseñanza (016)",8559,3,1763,4323,2376,94
"Servicios sociales y de salud (017)",3212,4,625,1407,1104,72
"Otras activ. serv.comun.soc y personales (018)",5165,55,1690,1958,1249,213
"Hogares privados con servicio doméstico (019)",3164,60,1548,942,567,47
"Organiz. y organos extraterritoriales (020)",2,,,,2,
"Actividad economica no especificada (021)",3945,16,1360,1439,937,193
"Hombres (022)",95127,861,29838,35791,24181,4456
"Agric., ganadería, caza y silvicultura (023)",15402,335,5241,4687,3855,1284
"Pesca (024)",4902,11,1315,2187,1260,129
"Explotación de minas y canteras (025)",326,,95,124,103,4
"Industrias manufactureras (026)",12371,83,4287,4309,3225,467
"Suministro de electricidad, gas y agua (027)",435,2,104,164,154,11
"Construcción (028)",9688,27,2969,3937,2411,344
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",17040,238,5109,6100,4554,1039
"Venta, mant.y rep. veh.autom.y motoc. (030)",3685,17,1348,1226,969,125
"Comercio al por mayor (031)",976,3,417,370,171,15
"Comercio al por menor (032)",12379,218,3344,4504,3414,899
"Hoteles y restaurantes (033)",2160,37,847,647,506,123
"Trans., almac. y comunicaciones (034)",12808,64,4294,5274,2774,402
"Intermediación financiera (035)",406,,142,202,58,4
"Activid.inmobil., empres. y alquileres (036)",6977,6,2329,3009,1451,182
