"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ANDAHUAYLAS (000)",50087,18689,31398
"Casa independiente (001)",48027,17824,30203
"Departamento en edificio (002)",241,241,
"Vivienda en quinta (003)",139,139,
"Vivienda en casa de vecindad (004)",393,393,
"Choza o cabaña (005)",1191,,1191
"Vivienda improvisada (006)",69,69,
"Local no dest.para hab. humana (007)",20,16,4
"Otro tipo (008)",7,7,
