"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia BARRANCA (000)",50480,426,16351,18347,13189,2167
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",99,,5,37,52,5
"Profes., científicos e intelectuales (002)",4108,,914,2033,1113,48
"Técnicos de nivel medio y trab. asimilados (003)",2188,4,735,887,512,50
"Jefes y empleados de oficina (004)",1860,,755,707,377,21
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",9315,66,2666,3355,2681,547
"Agricult. trabaj. calif.agrop. y pesqueros (006)",4037,11,860,1350,1388,428
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",4133,20,1378,1327,1232,176
"Obreros construc., conf., papel, fab., instr. (008)",6378,9,2126,2517,1522,204
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",17378,316,6645,5752,4033,632
"Otra (010)",227,,31,119,77,
"Ocupación no especificada (011)",757,,236,263,202,56
"Hombres (012)",33833,282,11106,11904,8957,1584
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",58,,3,22,29,4
"Profes., científicos e intelectuales (014)",1996,,373,934,651,38
"Técnicos de nivel medio y trab. asimilados (015)",1455,3,470,565,380,37
"Jefes y empleados de oficina (016)",914,,296,350,252,16
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",3921,26,1154,1367,1107,267
"Agricult. trabaj. calif.agrop. y pesqueros (018)",3573,9,740,1198,1241,385
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",3584,19,1218,1124,1057,166
"Obreros construc., conf., papel, fab., instr. (020)",6271,9,2090,2473,1501,198
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",11492,216,4615,3648,2568,445
"Otra (022)",216,,29,114,73,
"Ocupación no especificada (023)",353,,118,109,98,28
"Mujeres (024)",16647,144,5245,6443,4232,583
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",41,,2,15,23,1
"Profes., científicos e intelectuales (026)",2112,,541,1099,462,10
"Técnicos de nivel medio y trab. asimilados (027)",733,1,265,322,132,13
"Jefes y empleados de oficina (028)",946,,459,357,125,5
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",5394,40,1512,1988,1574,280
"Agricult. trabaj. calif.agrop. y pesqueros (030)",464,2,120,152,147,43
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",549,1,160,203,175,10
"Obreros construc., conf., papel, fab., instr. (032)",107,,36,44,21,6
