"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PADRE ABAD (000)",20103,16558,1358,805,1382
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",20,,,2,18
"Profes., científicos e intelectuales (002)",790,216,212,260,102
"Técnicos de nivel medio y trab. asimilados (003)",358,159,36,46,117
"Jefes y empleados de oficina (004)",380,90,34,46,210
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2012,1807,114,37,54
"Agricult.trabaj.calif.agrop.y pesqueros (006)",6926,6697,226,2,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1086,805,135,71,75
"Obreros construc.,conf.,papel, fab., instr. (008)",1609,1112,144,123,230
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",6027,5194,375,145,313
"Otra (010)",232,,,,232
"Ocupación no especificada (011)",663,478,82,73,30
"Hombres (012)",15230,12413,1033,598,1186
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",15,,,2,13
"Profes., científicos e intelectuales (014)",438,110,116,147,65
"Técnicos de nivel medio y trab. asimilados (015)",276,111,32,39,94
"Jefes y empleados de oficina (016)",221,30,20,29,142
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",813,683,53,29,48
"Agricult.trabaj.calif.agrop.y pesqueros (018)",6359,6152,204,2,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",970,704,129,65,72
"Obreros construc.,conf.,papel, fab., instr. (020)",1558,1080,135,118,225
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3931,3257,290,114,270
"Otra (022)",231,,,,231
"Ocupación no especificada (023)",418,286,54,53,25
"Mujeres (024)",4873,4145,325,207,196
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",5,,,,5
"Profes., científicos e intelectuales (026)",352,106,96,113,37
"Técnicos de nivel medio y trab. asimilados (027)",82,48,4,7,23
"Jefes y empleados de oficina (028)",159,60,14,17,68
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1199,1124,61,8,6
"Agricult.trabaj.calif.agrop.y pesqueros (030)",567,545,22,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",116,101,6,6,3
"Obreros construc.,conf.,papel, fab., instr. (032)",51,32,9,5,5
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",2096,1937,85,31,43
