"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CAJABAMBA (000)",21089,2206,3095,11633,146,3464,545
"Sin nivel (001)",2153,31,299,1265,12,434,112
"Educación inicial (002)",25,2,2,14,,6,1
"Primaria (003)",13237,211,2147,7975,72,2517,315
"Secundaria (004)",3179,360,542,1717,32,437,91
"Superior no univ. incompleta (005)",410,144,39,187,6,26,8
"Superior no univ. completa (006)",1442,1002,51,323,14,38,14
"Superior univ. incompleta (007)",117,60,5,45,2,2,3
"Superior univ. completa (008)",526,396,10,107,8,4,1
"Hombres (010)",16909,1184,2804,10054,123,2713,31
"Sin nivel (011)",1495,7,237,993,12,243,3
"Educación inicial (012)",21,1,2,13,,5,
"Primaria (013)",11440,100,1955,7228,65,2074,18
"Secundaria (014)",2553,233,515,1408,29,360,8
"Superior no univ. incompleta (015)",254,82,36,123,1,11,1
"Superior no univ. completa (016)",753,497,45,186,9,15,1
"Superior univ. incompleta (017)",72,35,4,30,2,1,
"Superior univ. completa (018)",321,229,10,73,5,4,
"Mujeres (020)",4180,1022,291,1579,23,751,514
"Sin nivel (021)",658,24,62,272,,191,109
"Educación inicial (022)",4,1,,1,,1,1
"Primaria (023)",1797,111,192,747,7,443,297
"Secundaria (024)",626,127,27,309,3,77,83
"Superior no univ. incompleta (025)",156,62,3,64,5,15,7
"Superior no univ. completa (026)",689,505,6,137,5,23,13
"Superior univ. incompleta (027)",45,25,1,15,,1,3
"Superior univ. completa (028)",205,167,,34,3,,1
,,,,,,,
"URBANA (030)",5854,1878,719,2564,67,353,273
"Sin nivel (031)",264,20,43,134,3,29,35
"Educación inicial (032)",11,1,1,8,,1,
"Primaria (033)",1921,153,361,1076,16,165,150
"Secundaria (034)",1539,304,237,808,20,106,64
"Superior no univ. incompleta (035)",316,116,25,141,5,21,8
"Superior no univ. completa (036)",1228,868,38,270,13,27,12
"Superior univ. incompleta (037)",104,54,4,39,2,2,3
"Superior univ. completa (038)",471,362,10,88,8,2,1
"Hombres (040)",3601,1010,645,1710,50,174,12
"Sin nivel (041)",101,6,27,57,3,8,
"Educación inicial (042)",9,1,1,7,,,
"Primaria (043)",1248,73,322,749,14,84,6
"Secundaria (044)",1083,200,225,575,17,62,4
"Superior no univ. incompleta (045)",198,69,24,96,1,7,1
"Superior no univ. completa (046)",625,428,33,145,8,10,1
"Superior univ. incompleta (047)",61,30,3,25,2,1,
"Superior univ. completa (048)",276,203,10,56,5,2,
"Mujeres (050)",2253,868,74,854,17,179,261
"Sin nivel (051)",163,14,16,77,,21,35
"Educación inicial (052)",2,,,1,,1,
"Primaria (053)",673,80,39,327,2,81,144
"Secundaria (054)",456,104,12,233,3,44,60
"Superior no univ. incompleta (055)",118,47,1,45,4,14,7
"Superior no univ. completa (056)",603,440,5,125,5,17,11
"Superior univ. incompleta (057)",43,24,1,14,,1,3
"Superior univ. completa (058)",195,159,,32,3,,1
,,,,,,,
"RURAL (060)",15235,328,2376,9069,79,3111,272
"Sin nivel (061)",1889,11,256,1131,9,405,77
"Educación inicial (062)",14,1,1,6,,5,1
"Primaria (063)",11316,58,1786,6899,56,2352,165
"Secundaria (064)",1640,56,305,909,12,331,27
"Superior no univ. incompleta (065)",94,28,14,46,1,5,
"Superior no univ. completa (066)",214,134,13,53,1,11,2
"Superior univ. incompleta (067)",13,6,1,6,,,
"Superior univ. completa (068)",55,34,,19,,2,
"Hombres (070)",13308,174,2159,8344,73,2539,19
"Sin nivel (071)",1394,1,210,936,9,235,3
"Educación inicial (072)",12,,1,6,,5,
"Primaria (073)",10192,27,1633,6479,51,1990,12
"Secundaria (074)",1470,33,290,833,12,298,4
"Superior no univ. incompleta (075)",56,13,12,27,,4,
"Superior no univ. completa (076)",128,69,12,41,1,5,
"Superior univ. incompleta (077)",11,5,1,5,,,
"Superior univ. completa (078)",45,26,,17,,2,
"Mujeres (080)",1927,154,217,725,6,572,253
"Sin nivel (081)",495,10,46,195,,170,74
"Educación inicial (082)",2,1,,,,,1
"Primaria (083)",1124,31,153,420,5,362,153
"Secundaria (084)",170,23,15,76,,33,23
"Superior no univ. incompleta (085)",38,15,2,19,1,1,
"Superior no univ. completa (086)",86,65,1,12,,6,2
"Superior univ. incompleta (087)",2,1,,1,,,
"Superior univ. completa (088)",10,8,,2,,,
