"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia OYON (000)",253,3,153,59,31,7
"Sin nivel (001)",15,,4,3,4,4
"Primaria (003)",45,1,15,12,15,2
"Secundaria (004)",122,2,92,23,5,
"Superior no univ. incompleta (005)",23,,16,6,1,
"Superior no univ. completa (006)",21,,15,4,2,
"Superior univ. incompleta (007)",10,,8,2,,
"Superior univ. completa (008)",17,,3,9,4,1
"Hombres (010)",202,3,118,47,29,5
"Sin nivel (011)",13,,4,2,4,3
"Primaria (013)",39,1,13,10,14,1
"Secundaria (014)",98,2,72,19,5,
"Superior no univ. incompleta (015)",17,,10,6,1,
"Superior no univ. completa (016)",18,,12,4,2,
"Superior univ. incompleta (017)",7,,5,2,,
"Superior univ. completa (018)",10,,2,4,3,1
"Mujeres (020)",51,,35,12,2,2
"Sin nivel (021)",2,,,1,,1
"Primaria (023)",6,,2,2,1,1
"Secundaria (024)",24,,20,4,,
"Superior no univ. incompleta (025)",6,,6,,,
"Superior no univ. completa (026)",3,,3,,,
"Superior univ. incompleta (027)",3,,3,,,
"Superior univ. completa (028)",7,,1,5,1,
,,,,,,
"Area Urbana (030)",167,1,97,44,21,4
"Sin nivel (031)",6,,1,2,2,1
"Primaria (033)",25,,7,5,11,2
"Secundaria (034)",82,1,58,19,4,
"Superior no univ. incompleta (035)",17,,13,4,,
"Superior no univ. completa (036)",13,,8,3,2,
"Superior univ. incompleta (037)",9,,7,2,,
"Superior univ. completa (038)",15,,3,9,2,1
"Hombres (040)",130,1,73,34,19,3
"Sin nivel (041)",5,,1,1,2,1
"Primaria (043)",20,,5,4,10,1
"Secundaria (044)",69,1,48,16,4,
"Superior no univ. incompleta (045)",11,,7,4,,
"Superior no univ. completa (046)",11,,6,3,2,
"Superior univ. incompleta (047)",6,,4,2,,
"Superior univ. completa (048)",8,,2,4,1,1
"Mujeres (050)",37,,24,10,2,1
"Sin nivel (051)",1,,,1,,
"Primaria (053)",5,,2,1,1,1
"Secundaria (054)",13,,10,3,,
"Superior no univ. incompleta (055)",6,,6,,,
"Superior no univ. completa (056)",2,,2,,,
"Superior univ. incompleta (057)",3,,3,,,
"Superior univ. completa (058)",7,,1,5,1,
,,,,,,
"Area Rural (060)",86,2,56,15,10,3
"Sin nivel (061)",9,,3,1,2,3
"Primaria (063)",20,1,8,7,4,
"Secundaria (064)",40,1,34,4,1,
"Superior no univ. incompleta (065)",6,,3,2,1,
"Superior no univ. completa (066)",8,,7,1,,
"Superior univ. incompleta (067)",1,,1,,,
"Superior univ. completa (068)",2,,,,2,
"Hombres (070)",72,2,45,13,10,2
"Sin nivel (071)",8,,3,1,2,2
"Primaria (073)",19,1,8,6,4,
"Secundaria (074)",29,1,24,3,1,
"Superior no univ. incompleta (075)",6,,3,2,1,
"Superior no univ. completa (076)",7,,6,1,,
"Superior univ. incompleta (077)",1,,1,,,
"Superior univ. completa (078)",2,,,,2,
"Mujeres (080)",14,,11,2,,1
"Sin nivel (081)",1,,,,,1
"Primaria (083)",1,,,1,,
"Secundaria (084)",11,,10,1,,
"Superior no univ. completa (086)",1,,1,,,
