"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUANUCO (000)",270233,4692,87650,77113,49332,36593,14853
"Hombres (001)",133057,2394,44792,38011,23330,17538,6992
"Mujeres (002)",137176,2298,42858,39102,26002,19055,7861
"Viviendas particulares (003)",267068,4668,87413,75786,48247,36180,14774
"Hombres (004)",130675,2383,44680,36992,22449,17222,6949
"Mujeres (005)",136393,2285,42733,38794,25798,18958,7825
"Viviendas colectivas (006)",2873,24,223,1235,978,345,68
"Hombres (007)",2159,11,106,955,790,262,35
"Mujeres (008)",714,13,117,280,188,83,33
"Otro tipo (009)",292,,14,92,107,68,11
"Hombres (010)",223,,6,64,91,54,8
"Mujeres (011)",69,,8,28,16,14,3
,,,,,,,
"URBANA (012)",163235,2794,47103,49690,31473,23214,8961
"Hombres (013)",78698,1428,23916,23979,14464,10812,4099
"Mujeres (014)",84537,1366,23187,25711,17009,12402,4862
"Viviendas particulares (015)",161416,2773,46908,48937,30928,22969,8901
"Hombres (016)",77485,1420,23826,23481,14052,10637,4069
"Mujeres (017)",83931,1353,23082,25456,16876,12332,4832
"Viviendas colectivas (018)",1527,21,181,661,438,177,49
"Hombres (019)",990,8,84,434,321,121,22
"Mujeres (020)",537,13,97,227,117,56,27
"Otro tipo (021)",292,,14,92,107,68,11
"Hombres (022)",223,,6,64,91,54,8
"Mujeres (023)",69,,8,28,16,14,3
,,,,,,,
"RURAL (024)",106998,1898,40547,27423,17859,13379,5892
"Hombres (025)",54359,966,20876,14032,8866,6726,2893
"Mujeres (026)",52639,932,19671,13391,8993,6653,2999
"Viviendas particulares (027)",105652,1895,40505,26849,17319,13211,5873
"Hombres (028)",53190,963,20854,13511,8397,6585,2880
"Mujeres (029)",52462,932,19651,13338,8922,6626,2993
"Viviendas colectivas (030)",1346,3,42,574,540,168,19
"Hombres (031)",1169,3,22,521,469,141,13
"Mujeres (032)",177,,20,53,71,27,6
