"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SULLANA (000)",269410,12322,27082,30361,29773,48932,41930,60882,18128
"Sin nivel (001)",31581,12322,2332,422,474,946,2547,6796,5742
"Educación inicial (002)",8511,,8066,232,55,101,57,,
"Primaria (003)",91971,,16684,19382,4386,9495,10525,22893,8606
"Secundaria (004)",84048,,,10325,20133,20369,15351,15993,1877
"Superior no univ. incompleto (005)",12732,,,,2311,4743,2816,2560,302
"Superior no univ. completo (006)",19588,,,,,5912,6084,6803,789
"Superior univ. incompleto (007)",9661,,,,2414,4225,1307,1527,188
"Superior univ. completo (008)",11318,,,,,3141,3243,4310,624
"Hombres (010)",133340,6345,13730,15344,14956,23656,20095,30291,8923
"Sin nivel (011)",14643,6345,1210,236,266,489,1119,2673,2305
"Educación inicial (012)",4376,,4121,146,32,49,28,,
"Primaria (013)",44632,,8399,9899,2297,4490,4587,10567,4393
"Secundaria (014)",44875,,,5063,10281,10736,8407,9285,1103
"Superior no univ. incompleto (015)",5842,,,,980,2028,1279,1388,167
"Superior no univ. completo (016)",8334,,,,,2398,2477,3016,443
"Superior univ. incompleto (017)",4941,,,,1100,2054,658,1007,122
"Superior univ. completo (018)",5697,,,,,1412,1540,2355,390
"Mujeres (020)",136070,5977,13352,15017,14817,25276,21835,30591,9205
"Sin nivel (021)",16938,5977,1122,186,208,457,1428,4123,3437
"Educación inicial (022)",4135,,3945,86,23,52,29,,
"Primaria (023)",47339,,8285,9483,2089,5005,5938,12326,4213
"Secundaria (024)",39173,,,5262,9852,9633,6944,6708,774
"Superior no univ. incompleto (025)",6890,,,,1331,2715,1537,1172,135
"Superior no univ. completo (026)",11254,,,,,3514,3607,3787,346
"Superior univ. incompleto (027)",4720,,,,1314,2171,649,520,66
"Superior univ. completo (028)",5621,,,,,1729,1703,1955,234
,,,,,,,,,
"URBANA (030)",242360,11026,24236,27032,26593,44096,37988,55273,16116
"Sin nivel (031)",27047,11026,1929,366,410,768,2178,5610,4760
"Educación inicial (032)",7829,,7412,229,51,92,45,,
"Primaria (033)",77803,,14895,16966,3367,7455,8316,19170,7634
