"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUARAL (000)",161991,135396,26595
"Casa independiente (001)",149183,123732,25451
"Departamento en edificio (002)",2702,2702,
"Vivienda en quinta (003)",2903,2903,
"Vivienda en casa de vecindad (004)",2909,2909,
"Choza o cabaña (005)",1110,,1110
"Vivienda improvisada (006)",2971,2971,
"Local no dest.para hab. humana (007)",195,164,31
"Otro tipo (008)",18,15,3
