"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia FERREÑAFE (000)",95816,51338,44478
"Casa independiente (001)",93879,49979,43900
"Departamento en edificio (002)",190,190,
"Vivienda en quinta (003)",152,152,
"Vivienda en casa de vecindad (004)",241,241,
"Choza o cabaña (005)",572,,572
"Vivienda improvisada (006)",770,770,
"Local no dest.para hab. humana (007)",12,6,6
