"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ACOBAMBA (000)",18843,5731,13112
"Casa independiente (001)",18347,5477,12870
"Vivienda en quinta (003)",175,175,
"Vivienda en casa de vecindad (004)",59,59,
"Choza o cabaña (005)",236,,236
"Vivienda improvisada (006)",18,18,
"Local no dest.para hab. humana (007)",6,2,4
"Otro tipo (008)",2,,2
