"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CHANCHAMAYO (000)",64233,10095,13460,29731,2817,6900,1230
"Agric., ganadería, caza y silvicultura (001)",32489,141,9089,15820,2071,5368,
"Pesca (002)",29,,10,12,,7,
"Explotación de minas y canteras (003)",914,202,691,15,6,,
"Industrias manufactureras (004)",2252,137,609,1330,90,86,
"Suministro de electricidad, gas y agua (005)",115,53,56,6,,,
"Construcción (006)",1985,86,1274,543,53,29,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",8536,1492,277,5639,283,845,
"Venta, mant.y rep. veh.autom.y motoc. (008)",1121,134,203,686,38,60,
"Comercio al por mayor (009)",350,126,18,149,26,31,
"Comercio al por menor (010)",7065,1232,56,4804,219,754,
"Hoteles y restaurantes (011)",3057,1000,118,1644,114,181,
"Trans., almac. y comunicaciones (012)",4272,988,481,2666,55,82,
"Intermediación financiera (013)",129,123,2,2,1,1,
"Activid.inmobil., empres. y alquileres (014)",1506,1026,118,309,29,24,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1289,1045,244,,,,
"Enseñanza (016)",2410,2208,3,182,4,13,
"Servicios sociales y de salud (017)",719,599,1,110,7,2,
"Otras activ. serv.comun.soc y personales (018)",1083,444,53,522,24,40,
"Hogares privados con servicio doméstico (019)",1230,,,,,,1230
"Actividad economica no especificada (021)",2218,551,434,931,80,222,
"Hombres (022)",46748,5415,11777,22883,2355,4234,84
"Agric., ganadería, caza y silvicultura (023)",28349,96,7973,14665,1909,3706,
"Pesca (024)",26,,8,12,,6,
"Explotación de minas y canteras (025)",896,192,684,14,6,,
"Industrias manufactureras (026)",1757,89,517,1017,76,58,
"Suministro de electricidad, gas y agua (027)",104,45,54,5,,,
"Construcción (028)",1901,75,1219,537,48,22,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",4240,770,263,2808,159,240,
"Venta, mant.y rep. veh.autom.y motoc. (030)",1003,83,198,640,32,50,
"Comercio al por mayor (031)",217,86,17,90,18,6,
"Comercio al por menor (032)",3020,601,48,2078,109,184,
"Hoteles y restaurantes (033)",773,280,41,368,35,49,
"Trans., almac. y comunicaciones (034)",3981,806,457,2598,50,70,
"Intermediación financiera (035)",71,66,1,2,1,1,
"Activid.inmobil., empres. y alquileres (036)",1043,673,103,238,18,11,
"Admin.pub. y defensa; p. segur.soc.afil (037)",900,774,126,,,,
"Enseñanza (038)",1003,921,2,77,,3,
"Servicios sociales y de salud (039)",262,195,,62,5,,
"Otras activ. serv.comun.soc y personales (040)",480,220,33,198,15,14,
"Hogares privados con servicio doméstico (041)",84,,,,,,84
"Actividad economica no especificada (043)",878,213,296,282,33,54,
"Mujeres (044)",17485,4680,1683,6848,462,2666,1146
"Agric., ganadería, caza y silvicultura (045)",4140,45,1116,1155,162,1662,
"Pesca (046)",3,,2,,,1,
"Explotación de minas y canteras (047)",18,10,7,1,,,
"Industrias manufactureras (048)",495,48,92,313,14,28,
"Suministro de electricidad, gas y agua (049)",11,8,2,1,,,
"Construcción (050)",84,11,55,6,5,7,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",4296,722,14,2831,124,605,
"Venta, mant.y rep. veh.autom.y motoc. (052)",118,51,5,46,6,10,
"Comercio al por mayor (053)",133,40,1,59,8,25,
"Comercio al por menor (054)",4045,631,8,2726,110,570,
"Hoteles y restaurantes (055)",2284,720,77,1276,79,132,
"Trans., almac. y comunicaciones (056)",291,182,24,68,5,12,
"Intermediación financiera (057)",58,57,1,,,,
"Activid.inmobil., empres. y alquileres (058)",463,353,15,71,11,13,
"Admin.pub. y defensa; p. segur.soc.afil (059)",389,271,118,,,,
"Enseñanza (060)",1407,1287,1,105,4,10,
"Servicios sociales y de salud (061)",457,404,1,48,2,2,
"Otras activ. serv.comun.soc y personales (062)",603,224,20,324,9,26,
"Hogares privados con servicio doméstico (063)",1146,,,,,,1146
"Actividad economica no especificada (065)",1340,338,138,649,47,168,
,,,,,,,
"URBANA (066)",35801,8852,6169,16318,1249,2295,918
"Agric., ganadería, caza y silvicultura (067)",8768,89,2741,4272,616,1050,
"Pesca (068)",25,,8,11,,6,
"Explotación de minas y canteras (069)",496,80,397,13,6,,
"Industrias manufactureras (070)",1978,125,534,1169,83,67,
"Suministro de electricidad, gas y agua (071)",87,45,37,5,,,
"Construcción (072)",1750,75,1116,496,42,21,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",7671,1372,251,5039,251,758,
"Venta, mant.y rep. veh.autom.y motoc. (074)",1045,114,182,654,37,58,
"Comercio al por mayor (075)",325,123,17,134,24,27,
"Comercio al por menor (076)",6301,1135,52,4251,190,673,
"Hoteles y restaurantes (077)",2664,878,90,1459,98,139,
"Trans., almac. y comunicaciones (078)",3670,873,341,2343,43,70,
"Intermediación financiera (079)",125,119,2,2,1,1,
"Activid.inmobil., empres. y alquileres (080)",1308,901,72,288,25,22,
"Admin.pub. y defensa; p. segur.soc.afil (081)",1189,981,208,,,,
"Enseñanza (082)",2084,1911,2,161,3,7,
"Servicios sociales y de salud (083)",636,526,1,100,7,2,
"Otras activ. serv.comun.soc y personales (084)",1008,423,49,484,22,30,
"Hogares privados con servicio doméstico (085)",918,,,,,,918
"Actividad economica no especificada (087)",1424,454,320,476,52,122,
"Hombres (088)",23424,4714,5323,11227,948,1167,45
"Agric., ganadería, caza y silvicultura (089)",7523,69,2355,3841,551,707,
"Pesca (090)",24,,7,11,,6,
"Explotación de minas y canteras (091)",487,75,394,12,6,,
"Industrias manufactureras (092)",1576,84,449,924,71,48,
"Suministro de electricidad, gas y agua (093)",76,37,35,4,,,
"Construcción (094)",1675,66,1065,490,39,15,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",3912,712,238,2589,149,224,
"Venta, mant.y rep. veh.autom.y motoc. (096)",936,71,177,609,31,48,
"Comercio al por mayor (097)",203,83,17,79,18,6,
"Comercio al por menor (098)",2773,558,44,1901,100,170,
"Hoteles y restaurantes (099)",699,248,34,337,33,47,
"Trans., almac. y comunicaciones (100)",3399,696,322,2285,38,58,
"Intermediación financiera (101)",69,64,1,2,1,1,
"Activid.inmobil., empres. y alquileres (102)",891,583,58,223,16,11,
"Admin.pub. y defensa; p. segur.soc.afil (103)",832,731,101,,,,
"Enseñanza (104)",851,775,1,74,,1,
"Servicios sociales y de salud (105)",235,173,,57,5,,
"Otras activ. serv.comun.soc y personales (106)",447,209,31,185,13,9,
"Hogares privados con servicio doméstico (107)",45,,,,,,45
"Actividad economica no especificada (109)",683,192,232,193,26,40,
"Mujeres (110)",12377,4138,846,5091,301,1128,873
"Agric., ganadería, caza y silvicultura (111)",1245,20,386,431,65,343,
"Pesca (112)",1,,1,,,,
"Explotación de minas y canteras (113)",9,5,3,1,,,
"Industrias manufactureras (114)",402,41,85,245,12,19,
"Suministro de electricidad, gas y agua (115)",11,8,2,1,,,
