"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia COTABAMBAS (000)",8397,1472,1368,3028,38,1364,141,986
"Agric., ganadería, caza y silvicultura (001)",3664,8,408,2049,10,1189,,
"Explotación de minas y canteras (003)",406,120,277,9,,,,
"Industrias manufactureras (004)",203,5,44,137,11,6,,
"Suministro de electricidad, gas y agua (005)",16,4,12,,,,,
"Construcción (006)",591,16,406,121,4,44,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",393,18,6,314,4,51,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",22,,6,15,,1,,
"Comercio al por mayor (009)",10,1,,6,,3,,
"Comercio al por menor (010)",361,17,,293,4,47,,
"Hoteles y restaurantes (011)",186,47,11,106,6,16,,
"Trans., almac. y comunicaciones (012)",103,41,31,30,,1,,
"Intermediación financiera (013)",3,3,,,,,,
"Activid.inmobil., empres. y alquileres (014)",99,80,6,12,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",256,183,73,,,,,
"Enseñanza (016)",783,701,,79,,3,,
"Servicios sociales y de salud (017)",141,136,,4,,1,,
"Otras activ. serv.comun.soc y personales (018)",75,37,23,10,,5,,
"Hogares privados con servicio doméstico (019)",141,,,,,,141,
"Actividad economica no especificada (021)",351,73,71,157,3,47,,
"Desocupado (022)",986,,,,,,,986
"Hombres (023)",6322,963,1240,2353,23,877,18,848
"Agric., ganadería, caza y silvicultura (024)",2994,7,359,1836,6,786,,
"Explotación de minas y canteras (026)",366,97,260,9,,,,
"Industrias manufactureras (027)",138,4,40,83,9,2,,
"Suministro de electricidad, gas y agua (028)",14,3,11,,,,,
"Construcción (029)",572,16,391,118,4,43,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",156,9,6,129,3,9,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",19,,6,13,,,,
"Comercio al por mayor (032)",4,1,,2,,1,,
"Comercio al por menor (033)",133,8,,114,3,8,,
"Hoteles y restaurantes (034)",52,29,6,15,,2,,
"Trans., almac. y comunicaciones (035)",96,40,28,27,,1,,
"Intermediación financiera (036)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (037)",78,64,5,8,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",212,148,64,,,,,
"Enseñanza (039)",463,416,,45,,2,,
"Servicios sociales y de salud (040)",51,48,,2,,1,,
"Otras activ. serv.comun.soc y personales (041)",56,27,22,5,,2,,
"Hogares privados con servicio doméstico (042)",18,,,,,,18,
"Actividad economica no especificada (044)",206,53,48,76,1,28,,
"Desocupado (045)",848,,,,,,,848
"Mujeres (046)",2075,509,128,675,15,487,123,138
"Agric., ganadería, caza y silvicultura (047)",670,1,49,213,4,403,,
"Explotación de minas y canteras (049)",40,23,17,,,,,
"Industrias manufactureras (050)",65,1,4,54,2,4,,
"Suministro de electricidad, gas y agua (051)",2,1,1,,,,,
"Construcción (052)",19,,15,3,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",237,9,,185,1,42,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",3,,,2,,1,,
"Comercio al por mayor (055)",6,,,4,,2,,
"Comercio al por menor (056)",228,9,,179,1,39,,
"Hoteles y restaurantes (057)",134,18,5,91,6,14,,
"Trans., almac. y comunicaciones (058)",7,1,3,3,,,,
"Intermediación financiera (059)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (060)",21,16,1,4,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",44,35,9,,,,,
"Enseñanza (062)",320,285,,34,,1,,
"Servicios sociales y de salud (063)",90,88,,2,,,,
"Otras activ. serv.comun.soc y personales (064)",19,10,1,5,,3,,
"Hogares privados con servicio doméstico (065)",123,,,,,,123,
"Actividad economica no especificada (067)",145,20,23,81,2,19,,
,,,,,,,,
"URBANA (068)",3626,1242,713,1052,22,324,58,215
"Agric., ganadería, caza y silvicultura (069)",787,7,180,380,6,214,,
"Explotación de minas y canteras (071)",292,107,176,9,,,,
"Industrias manufactureras (072)",102,5,20,68,7,2,,
"Suministro de electricidad, gas y agua (073)",7,4,3,,,,,
"Construcción (074)",257,15,182,50,2,8,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",348,16,6,275,3,48,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",21,,6,14,,1,,
"Comercio al por mayor (077)",10,1,,6,,3,,
"Comercio al por menor (078)",317,15,,255,3,44,,
"Hoteles y restaurantes (079)",146,35,9,85,2,15,,
"Trans., almac. y comunicaciones (080)",83,36,19,27,,1,,
"Intermediación financiera (081)",3,3,,,,,,
"Activid.inmobil., empres. y alquileres (082)",90,74,3,12,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",208,160,48,,,,,
"Enseñanza (084)",625,578,,44,,3,,
"Servicios sociales y de salud (085)",115,111,,4,,,,
"Otras activ. serv.comun.soc y personales (086)",64,31,21,8,,4,,
"Hogares privados con servicio doméstico (087)",58,,,,,,58,
"Actividad economica no especificada (089)",226,60,46,90,2,28,,
"Desocupado (090)",215,,,,,,,215
"Hombres (091)",2487,802,655,664,16,178,12,160
"Agric., ganadería, caza y silvicultura (092)",646,7,157,335,5,142,,
"Explotación de minas y canteras (094)",272,87,176,9,,,,
"Industrias manufactureras (095)",81,4,18,53,5,1,,
"Suministro de electricidad, gas y agua (096)",6,3,3,,,,,
"Construcción (097)",254,15,179,50,2,8,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",132,7,6,110,3,6,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",18,,6,12,,,,
"Comercio al por mayor (100)",4,1,,2,,1,,
"Comercio al por menor (101)",110,6,,96,3,5,,
"Hoteles y restaurantes (102)",38,23,4,9,,2,,
"Trans., almac. y comunicaciones (103)",79,35,19,24,,1,,
"Intermediación financiera (104)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (105)",69,58,2,8,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",169,128,41,,,,,
"Enseñanza (107)",352,329,,21,,2,,
"Servicios sociales y de salud (108)",44,42,,2,,,,
"Otras activ. serv.comun.soc y personales (109)",46,21,20,4,,1,,
"Hogares privados con servicio doméstico (110)",12,,,,,,12,
"Actividad economica no especificada (112)",125,41,30,39,1,14,,
"Desocupado (113)",160,,,,,,,160
"Mujeres (114)",1139,440,58,388,6,146,46,55
"Agric., ganadería, caza y silvicultura (115)",141,,23,45,1,72,,
"Explotación de minas y canteras (117)",20,20,,,,,,
"Industrias manufactureras (118)",21,1,2,15,2,1,,
"Suministro de electricidad, gas y agua (119)",1,1,,,,,,
"Construcción (120)",3,,3,,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (121)",216,9,,165,,42,,
"Venta, mant.y rep. veh.autom.y motoc. (122)",3,,,2,,1,,
"Comercio al por mayor (123)",6,,,4,,2,,
