"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia DOS DE MAYO (000)",39960,12264,11555,7389,5845,2907
"Sin nivel (001)",4609,425,484,913,1499,1288
"Educación inicial (002)",806,761,28,17,,
"Primaria (003)",21813,9657,3809,3795,3157,1395
"Secundaria (004)",9497,1421,5718,1456,743,159
"Superior no univ. incompleta (005)",944,,705,174,56,9
"Superior no univ. completa (006)",1437,,473,695,233,36
"Superior univ. incompleta (007)",279,,185,58,34,2
"Superior univ. completa (008)",575,,153,281,123,18
"PEA (010)",12846,280,4025,4232,3221,1088
"Sin nivel (011)",1278,27,151,273,495,332
"Educación inicial (012)",19,2,10,7,,
"Primaria (013)",6271,216,1522,2014,1860,659
"Secundaria (014)",3255,35,1700,942,506,72
"Superior no univ. incompleta (015)",305,,144,112,42,7
"Superior no univ. completa (016)",1108,,324,586,186,12
"Superior univ. incompleta (017)",133,,57,47,27,2
"Superior univ. completa (018)",477,,117,251,105,4
"Ocupada (020)",12132,255,3632,4051,3134,1060
"Sin nivel (021)",1226,20,139,263,479,325
"Educación inicial (022)",13,,7,6,,
"Primaria (023)",5984,201,1396,1936,1811,640
"Secundaria (024)",3028,34,1542,890,492,70
"Superior no univ. incompleta (025)",280,,123,109,41,7
"Superior no univ. completa (026)",1017,,266,559,180,12
"Superior univ. incompleta (027)",126,,51,46,27,2
"Superior univ. completa (028)",458,,108,242,104,4
"Desocupada (030)",714,25,393,181,87,28
"Sin nivel (031)",52,7,12,10,16,7
