"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia OXAPAMPA (000)",32420,27175,1775,1439,2031
"Hombres (001)",23696,19899,1317,1009,1471
"Mujeres (002)",8724,7276,458,430,560
"De 06 a 14 años (003)",1091,1040,45,5,1
"Hombres (004)",767,729,32,5,1
"Mujeres (005)",324,311,13,,
"De 15 a 29 años (006)",11688,9886,698,485,619
"Hombres (007)",8602,7259,530,361,452
"Mujeres (008)",3086,2627,168,124,167
"De 30 a 44 años (009)",10979,8691,687,654,947
"Hombres (010)",7715,6147,483,423,662
"Mujeres (011)",3264,2544,204,231,285
"De 45 a 64 años (012)",6938,5913,318,273,434
"Hombres (013)",5163,4386,249,199,329
"Mujeres (014)",1775,1527,69,74,105
"De 65 y más años (015)",1724,1645,27,22,30
"Hombres (016)",1449,1378,23,21,27
"Mujeres (017)",275,267,4,1,3
,,,,,
"URBANA (018)",13208,9598,997,939,1674
"Hombres (019)",8756,6238,736,584,1198
"Mujeres (020)",4452,3360,261,355,476
"De 06 a 14 años (021)",248,226,21,1,
"Hombres (022)",150,133,16,1,
"Mujeres (023)",98,93,5,,
"De 15 a 29 años (024)",4391,3280,364,258,489
"Hombres (025)",2916,2134,273,161,348
"Mujeres (026)",1475,1146,91,97,141
"De 30 a 44 años (027)",5052,3378,398,475,801
"Hombres (028)",3183,2081,270,275,557
"Mujeres (029)",1869,1297,128,200,244
"De 45 a 64 años (030)",2972,2224,196,191,361
"Hombres (031)",2072,1506,161,133,272
"Mujeres (032)",900,718,35,58,89
"De 65 y más años (033)",545,490,18,14,23
"Hombres (034)",435,384,16,14,21
"Mujeres (035)",110,106,2,,2
,,,,,
"RURAL (036)",19212,17577,778,500,357
"Hombres (037)",14940,13661,581,425,273
"Mujeres (038)",4272,3916,197,75,84
"De 06 a 14 años (039)",843,814,24,4,1
"Hombres (040)",617,596,16,4,1
"Mujeres (041)",226,218,8,,
"De 15 a 29 años (042)",7297,6606,334,227,130
"Hombres (043)",5686,5125,257,200,104
"Mujeres (044)",1611,1481,77,27,26
"De 30 a 44 años (045)",5927,5313,289,179,146
"Hombres (046)",4532,4066,213,148,105
"Mujeres (047)",1395,1247,76,31,41
"De 45 a 64 años (048)",3966,3689,122,82,73
"Hombres (049)",3091,2880,88,66,57
"Mujeres (050)",875,809,34,16,16
"De 65 y más años (051)",1179,1155,9,8,7
"Hombres (052)",1014,994,7,7,6
"Mujeres (053)",165,161,2,1,1
