"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CONDORCANQUI (000)",38316,3410,7599,6105,4584,6595,4703,4778,542
"Sabe leer y escribir (001)",26468,,3626,5661,4187,5776,3974,3093,151
"No sabe leer y escribir (002)",11848,3410,3973,444,397,819,729,1685,391
"Hombres (004)",19281,1664,3798,3093,2260,3134,2432,2628,272
"Sabe leer y escribir (005)",14575,,1848,2920,2139,2979,2328,2243,118
"No sabe leer y escribir (006)",4706,1664,1950,173,121,155,104,385,154
"Mujeres (008)",19035,1746,3801,3012,2324,3461,2271,2150,270
"Sabe leer y escribir (009)",11893,,1778,2741,2048,2797,1646,850,33
"No sabe leer y escribir (010)",7142,1746,2023,271,276,664,625,1300,237
,,,,,,,,,
"URBANA (012)",5888,377,943,1016,917,1016,734,812,73
"Sabe leer y escribir (013)",4953,,653,1000,899,978,701,675,47
"No sabe leer y escribir (014)",935,377,290,16,18,38,33,137,26
"Hombres (016)",3006,165,456,515,544,464,373,455,34
"Sabe leer y escribir (017)",2637,,312,509,532,460,370,429,25
"No sabe leer y escribir (018)",369,165,144,6,12,4,3,26,9
"Mujeres (020)",2882,212,487,501,373,552,361,357,39
"Sabe leer y escribir (021)",2316,,341,491,367,518,331,246,22
"No sabe leer y escribir (022)",566,212,146,10,6,34,30,111,17
,,,,,,,,,
"RURAL (024)",32428,3033,6656,5089,3667,5579,3969,3966,469
"Sabe leer y escribir (025)",21515,,2973,4661,3288,4798,3273,2418,104
"No sabe leer y escribir (026)",10913,3033,3683,428,379,781,696,1548,365
"Hombres (028)",16275,1499,3342,2578,1716,2670,2059,2173,238
"Sabe leer y escribir (029)",11938,,1536,2411,1607,2519,1958,1814,93
"No sabe leer y escribir (030)",4337,1499,1806,167,109,151,101,359,145
"Mujeres (032)",16153,1534,3314,2511,1951,2909,1910,1793,231
"Sabe leer y escribir (033)",9577,,1437,2250,1681,2279,1315,604,11
"No sabe leer y escribir (034)",6576,1534,1877,261,270,630,595,1189,220
