"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CASMA (000)",11391,10986,45,2562,2548,1846,2115,1172,510,188,405,36328
"De 12 a 14 años (001)",6,5,,4,1,,,,,,1,6
"De 15 a 19 años (002)",335,299,1,268,25,4,1,,,,36,334
"De 20 a 24 años (003)",1113,998,4,673,269,46,5,1,,,115,1377
"De 25 a 29 años (004)",1386,1282,6,598,448,160,64,4,2,,104,2283
"De 30 a 34 años (005)",1436,1402,5,394,533,295,154,21,,,34,3134
"De 35 a 39 años (006)",1416,1384,6,197,437,364,307,61,11,1,32,3971
"De 40 a 44 años (007)",1259,1234,3,136,291,340,317,118,24,5,25,4127
"De 45 a 49 años (008)",1070,1059,3,94,188,224,339,156,53,2,11,4098
"De 50 y más años (009)",3370,3323,17,198,356,413,928,811,420,180,47,16998
"Conviviente (010)",5012,4926,19,1396,1304,810,833,384,141,39,86,14124
"De 12 a 14 años (011)",1,,,,,,,,,,1,
"De 15 a 19 años (012)",246,216,1,191,20,3,1,,,,30,244
"De 20 a 24 años (013)",769,744,2,486,213,39,3,1,,,25,1048
"De 25 a 29 años (014)",895,877,4,381,325,120,44,3,,,18,1594
"De 30 a 34 años (015)",798,796,1,164,326,183,106,16,,,2,1915
"De 35 a 39 años (016)",704,700,3,65,205,187,195,39,6,,4,2165
"De 40 a 44 años (017)",537,533,,43,108,134,165,68,14,1,4,1945
"De 45 a 49 años (018)",396,395,2,28,59,71,137,76,22,,1,1631
"De 50 y más años (019)",666,665,6,38,48,73,182,181,99,38,1,3582
"Separado(a) (020)",971,964,4,290,205,165,167,96,30,7,7,2874
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",28,27,,26,1,,,,,,1,28
"De 20 a 24 años (023)",76,76,1,57,15,2,1,,,,,98
