"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia LUCANAS (000)",18825,64590,10186,37913,8639,26677
"Casa independiente (001)",16662,58552,10036,37400,6626,21152
"Departamento en edificio (002)",7,34,7,34,,
"Vivienda en quinta (003)",58,192,58,192,,
"Vivienda en casa de vecindad (004)",65,228,65,228,,
"Choza o cabaña (005)",1991,5469,,,1991,5469
"Vivienda improvisada (006)",2,12,2,12,,
"Local no dest.para hab. humana (007)",31,77,16,44,15,33
"Otro tipo (008)",9,26,2,3,7,23
