"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SATIPO (000)",41359,59,280,940,2921,7380,20980,8799
"De 12 a 14 años (001)",103,,,,,,26,77
"De 15 a 19 años (002)",2461,,,,,,1652,809
"De 20 a 24 años (003)",6519,,,,,18,4470,2031
"De 25 a 29 años (004)",6840,,,,,326,4985,1529
"De 30 a 34 años (005)",5607,,,,3,812,3824,968
"De 35 a 39 años (006)",5470,,,,57,1452,3176,785
"De 40 a 44 años (007)",4199,,,,173,1556,1811,659
"De 45 a 49 años (008)",3378,,,18,412,1601,867,480
"De 50 y más años (009)",6782,59,280,922,2276,1615,169,1461
"Sin nivel (010)",7873,34,158,532,1195,1485,2790,1679
"De 12 a 14 años (011)",9,,,,,,5,4
"De 15 a 19 años (012)",159,,,,,,101,58
"De 20 a 24 años (013)",425,,,,,,294,131
"De 25 a 29 años (014)",609,,,,,22,460,127
"De 30 a 34 años (015)",679,,,,1,56,518,104
"De 35 a 39 años (016)",849,,,,6,146,574,123
"De 40 a 44 años (017)",897,,,,23,257,451,166
"De 45 a 49 años (018)",917,,,4,93,375,309,136
"De 50 y más años (019)",3329,34,158,528,1072,629,78,830
"Educacion Inicial (020)",73,,,,,3,44,26
"De 12 a 14 años (021)",2,,,,,,1,1
"De 15 a 19 años (022)",9,,,,,,5,4
"De 20 a 24 años (023)",12,,,,,,8,4
"De 25 a 29 años (024)",12,,,,,,9,3
"De 30 a 34 años (025)",25,,,,,2,13,10
"De 35 a 39 años (026)",13,,,,,1,8,4
"Primaria (030)",17177,20,100,297,1119,3534,9248,2859
"De 12 a 14 años (031)",57,,,,,,16,41
"De 15 a 19 años (032)",1050,,,,,,724,326
"De 20 a 24 años (033)",2387,,,,,7,1791,589
"De 25 a 29 años (034)",2654,,,,,123,2114,417
"De 30 a 34 años (035)",2298,,,,1,343,1637,317
"De 35 a 39 años (036)",2566,,,,15,708,1569,274
"De 40 a 44 años (037)",2030,,,,71,790,924,245
"De 45 a 49 años (038)",1588,,,7,165,811,400,205
"De 50 y más años (039)",2547,20,100,290,867,752,73,445
"Secundaria (040)",12786,3,15,86,432,1818,7424,3008
"De 12 a 14 años (041)",35,,,,,,4,31
"De 15 a 19 años (042)",1199,,,,,,796,403
"De 20 a 24 años (043)",3168,,,,,8,2152,1008
"De 25 a 29 años (044)",2781,,,,,150,1997,634
"De 30 a 34 años (045)",1889,,,,1,316,1268,304
"De 35 a 39 años (046)",1470,,,,27,467,736,240
"De 40 a 44 años (047)",915,,,,56,375,321,163
"De 45 a 49 años (048)",665,,,6,116,321,133,89
