"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TUMBES (000)",39948,35716,73,8670,8803,6617,6428,2889,1494,742,4232,113478
"De 12 a 14 años (001)",86,23,2,18,3,,,,,,63,24
"De 15 a 19 años (002)",1366,980,5,877,79,14,5,,,,386,1097
"De 20 a 24 años (003)",5024,3626,8,2555,880,152,27,4,,,1398,4906
"De 25 a 29 años (004)",5763,4790,10,2031,1855,694,179,19,2,,973,8708
"De 30 a 34 años (005)",5356,4890,10,1142,1944,1222,525,38,6,3,466,11234
"De 35 a 39 años (006)",5002,4710,4,680,1523,1401,934,154,11,3,292,13032
"De 40 a 44 años (007)",4333,4143,5,408,1042,1181,1167,283,47,10,190,13365
"De 45 a 49 años (008)",3523,3380,7,320,611,807,1123,398,98,16,143,12430
"De 50 y más años (009)",9495,9174,22,639,866,1146,2468,1993,1330,710,321,48682
"Conviviente (010)",13870,13127,28,4143,3616,2310,1875,749,285,121,743,34984
"De 12 a 14 años (011)",59,12,2,9,1,,,,,,47,11
"De 15 a 19 años (012)",970,667,2,610,47,4,4,,,,303,732
"De 20 a 24 años (013)",2494,2267,3,1557,580,109,16,2,,,227,3122
"De 25 a 29 años (014)",2695,2607,6,1017,1023,434,114,11,2,,88,4928
"De 30 a 34 años (015)",2244,2212,6,440,870,579,286,27,1,3,32,5345
"De 35 a 39 años (016)",1801,1787,1,226,545,510,414,85,4,2,14,5237
"De 40 a 44 años (017)",1251,1246,2,95,283,326,394,120,23,3,5,4335
"De 45 a 49 años (018)",853,844,3,89,124,166,279,134,41,8,9,3356
"De 50 y más años (019)",1503,1485,3,100,143,182,368,370,214,105,18,7918
"Separado(a) (020)",3105,3018,3,961,693,469,505,231,111,45,87,8882
"De 12 a 14 años (021)",3,1,,1,,,,,,,2,1
