"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHINCHA (000)",75531,69678,18550,11307,11935,9434,10245,4554,2232,1421,5853,172184
"De 12 a 14 años (001)",5920,5870,5854,14,2,,,,,,50,18
"De 15 a 19 años (002)",9286,8958,7740,1072,119,17,10,,,,328,1401
"De 20 a 24 años (003)",9163,7387,2738,3165,1186,234,51,13,,,1776,6536
"De 25 a 29 años (004)",8233,6785,604,2557,2316,978,309,16,5,,1448,11553
"De 30 a 34 años (005)",7899,7171,352,1559,2594,1634,933,86,8,5,728,16271
"De 35 a 39 años (006)",6951,6518,205,844,1874,1849,1427,263,43,13,433,18427
"De 40 a 44 años (007)",5966,5688,205,601,1309,1398,1624,445,86,20,278,18203
"De 45 a 49 años (008)",4940,4723,172,405,823,1056,1415,632,161,59,217,17432
"De 50 y más años (009)",17173,16578,680,1090,1712,2268,4476,3099,1929,1324,595,82343
"Conviviente (010)",12578,11922,887,3870,2937,1782,1535,580,218,113,656,28581
"De 12 a 14 años (011)",54,15,5,9,1,,,,,,39,11
"De 15 a 19 años (012)",1245,1001,270,644,77,7,3,,,,244,831
"De 20 a 24 años (013)",2766,2549,271,1508,590,140,30,10,,,217,3299
"De 25 a 29 años (014)",2548,2457,126,874,885,399,160,11,2,,91,4605
"De 30 a 34 años (015)",1927,1898,60,413,649,423,309,38,2,4,29,4601
"De 35 a 39 años (016)",1362,1345,36,163,345,369,315,95,17,5,17,4140
"De 40 a 44 años (017)",914,909,31,113,177,193,281,92,17,5,5,3045
"De 45 a 49 años (018)",612,607,34,61,74,119,162,113,35,9,5,2405
"De 50 y más años (019)",1150,1141,54,85,139,132,275,221,145,90,9,5644
"Separado(a) (020)",4154,4068,34,1134,987,663,745,338,118,49,86,12046
"De 12 a 14 años (021)",5,3,2,,1,,,,,,2,2
