"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",23292,11416,11876,2871,1448,1423,20421,9968,10453
"Menores de 1 año (001)",480,241,239,45,27,18,435,214,221
"Menores de 1 mes (002)",35,18,17,4,3,1,31,15,16
"De 1 a 11 meses (003)",445,223,222,41,24,17,404,199,205
"De 1 a 4 años (004)",2347,1149,1198,205,103,102,2142,1046,1096
"1 año (005)",574,256,318,40,18,22,534,238,296
"2 años (006)",593,295,298,55,30,25,538,265,273
"3 años (007)",631,308,323,66,28,38,565,280,285
"4 años (008)",549,290,259,44,27,17,505,263,242
"De 5 a 9 años (009)",2984,1516,1468,315,171,144,2669,1345,1324
"5 años (010)",568,288,280,58,32,26,510,256,254
"6 años (011)",575,282,293,47,26,21,528,256,272
"7 años (012)",633,294,339,75,33,42,558,261,297
"8 años (013)",590,312,278,64,37,27,526,275,251
"9 años (014)",618,340,278,71,43,28,547,297,250
"De 10 a 14 años (015)",3207,1640,1567,349,169,180,2858,1471,1387
"10 años (016)",643,313,330,54,23,31,589,290,299
"11 años (017)",660,340,320,67,32,35,593,308,285
"12 años (018)",643,340,303,74,40,34,569,300,269
"13 años (019)",624,321,303,63,34,29,561,287,274
"14 años (020)",637,326,311,91,40,51,546,286,260
"De 15 a 19 años (021)",2379,1221,1158,274,137,137,2105,1084,1021
"15 años (022)",591,300,291,75,35,40,516,265,251
"16 años (023)",466,237,229,56,27,29,410,210,200
"17 años (024)",503,257,246,58,29,29,445,228,217
"18 años (025)",466,237,229,47,20,27,419,217,202
"19 años (026)",353,190,163,38,26,12,315,164,151
"De 20 a 24 años (027)",1762,860,902,197,97,100,1565,763,802
"20 años (028)",423,206,217,52,30,22,371,176,195
"21 años (029)",289,141,148,23,12,11,266,129,137
"22 años (030)",351,181,170,44,22,22,307,159,148
"23 años (031)",352,162,190,33,15,18,319,147,172
"24 años (032)",347,170,177,45,18,27,302,152,150
"De 25 a 29 años (033)",1415,711,704,199,100,99,1216,611,605
"25 años (034)",291,134,157,40,16,24,251,118,133
"26 años (035)",316,154,162,41,24,17,275,130,145
"27 años (036)",310,164,146,45,26,19,265,138,127
"28 años (037)",250,130,120,35,20,15,215,110,105
"29 años (038)",248,129,119,38,14,24,210,115,95
"De 30 a 34 años (039)",1346,635,711,230,119,111,1116,516,600
"30 años (040)",330,164,166,50,29,21,280,135,145
"31 años (041)",231,90,141,43,14,29,188,76,112
"32 años (042)",285,138,147,42,28,14,243,110,133
"33 años (043)",254,127,127,59,29,30,195,98,97
"34 años (044)",246,116,130,36,19,17,210,97,113
"De 35 a 39 años (045)",1128,518,610,185,85,100,943,433,510
"35 años (046)",214,105,109,34,23,11,180,82,98
