"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LORETO (000)",17623,12806,1921,945,1951
"Hombres (001)",13440,9485,1472,754,1729
"Mujeres (002)",4183,3321,449,191,222
"De 06 a 14 años (003)",423,361,56,4,2
"Hombres (004)",309,268,35,4,2
"Mujeres (005)",114,93,21,,
"De 15 a 29 años (006)",5858,4247,679,310,622
"Hombres (007)",4516,3191,532,250,543
"Mujeres (008)",1342,1056,147,60,79
"De 30 a 44 años (009)",6216,4162,744,435,875
"Hombres (010)",4686,3021,569,333,763
"Mujeres (011)",1530,1141,175,102,112
"De 45 a 64 años (012)",4189,3187,386,179,437
"Hombres (013)",3195,2342,292,155,406
"Mujeres (014)",994,845,94,24,31
"De 65 y más años (015)",937,849,56,17,15
"Hombres (016)",734,663,44,12,15
"Mujeres (017)",203,186,12,5,
,,,,,
"URBANA (018)",8619,5250,938,724,1707
"Hombres (019)",6215,3424,722,561,1508
"Mujeres (020)",2404,1826,216,163,199
"De 06 a 14 años (021)",179,156,19,2,2
"Hombres (022)",121,103,14,2,2
"Mujeres (023)",58,53,5,,
"De 15 a 29 años (024)",2739,1681,312,216,530
"Hombres (025)",1946,1079,243,162,462
"Mujeres (026)",793,602,69,54,68
"De 30 a 44 años (027)",3203,1700,376,354,773
"Hombres (028)",2303,1076,287,269,671
"Mujeres (029)",900,624,89,85,102
"De 45 a 64 años (030)",2076,1346,203,138,389
"Hombres (031)",1530,894,157,119,360
"Mujeres (032)",546,452,46,19,29
"De 65 y más años (033)",422,367,28,14,13
"Hombres (034)",315,272,21,9,13
"Mujeres (035)",107,95,7,5,
,,,,,
"RURAL (036)",9004,7556,983,221,244
"Hombres (037)",7225,6061,750,193,221
"Mujeres (038)",1779,1495,233,28,23
"De 06 a 14 años (039)",244,205,37,2,
"Hombres (040)",188,165,21,2,
"Mujeres (041)",56,40,16,,
"De 15 a 29 años (042)",3119,2566,367,94,92
"Hombres (043)",2570,2112,289,88,81
"Mujeres (044)",549,454,78,6,11
"De 30 a 44 años (045)",3013,2462,368,81,102
"Hombres (046)",2383,1945,282,64,92
"Mujeres (047)",630,517,86,17,10
"De 45 a 64 años (048)",2113,1841,183,41,48
"Hombres (049)",1665,1448,135,36,46
"Mujeres (050)",448,393,48,5,2
"De 65 y más años (051)",515,482,28,3,2
"Hombres (052)",419,391,23,3,2
"Mujeres (053)",96,91,5,,
