"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CELENDIN (000)",32198,95693,83939,,1652,87.7,1.7
"De 12 a 14 años (001)",3658,32,31,,7,96.9,21.9
"De 15 a 19 años (002)",4473,744,726,224,97.6,30.1,
"De 20 a 24 años (003)",3742,3504,3378,417,96.4,11.9,
"De 25 a 29 años (004)",3161,5843,5590,342,95.7,5.9,
"De 30 a 34 años (005)",2759,7579,7206,279,95.1,3.7,
"De 35 a 39 años (006)",2740,9965,9246,237,92.8,2.4,
"De 40 a 44 años (007)",2320,10464,9660,105,92.3,1,
"De 45 a 49 años (008)",1951,10359,9262,40,89.4,0.4,
"De 50 y más años (009)",7394,47203,38840,1,82.3,,
"Sin nivel (010)",7133,36867,30537,290,82.8,0.8,
"De 12 a 14 años (011)",72,1,1,,100,,
"De 15 a 19 años (012)",209,57,53,10,93,17.5,
"De 20 a 24 años (013)",383,468,447,53,95.5,11.3,
"De 25 a 29 años (014)",507,1114,1051,57,94.3,5.1,
"De 30 a 34 años (015)",487,1576,1477,59,93.7,3.7,
"De 35 a 39 años (016)",650,2597,2356,58,90.7,2.2,
"De 40 a 44 años (017)",621,3079,2743,37,89.1,1.2,
"De 45 a 49 años (018)",589,3471,3002,16,86.5,0.5,
"De 50 y más años (019)",3615,24504,19407,,79.2,,
"Educacion Inicial (020)",72,122,119,3,97.5,2.5,
"De 12 a 14 años (021)",13,,,,,,
"De 15 a 19 años (022)",9,3,3,,100,,
"De 20 a 24 años (023)",15,23,23,,100,,
"De 25 a 29 años (024)",17,31,30,1,96.8,3.2,
"De 30 a 34 años (025)",11,40,38,1,95,2.5,
"De 35 a 39 años (026)",7,25,25,1,100,4,
"Primaria (030)",17144,49887,44752,1049,89.7,2.1,
"De 12 a 14 años (031)",2485,25,24,6,96,24,
"De 15 a 19 años (032)",2237,489,480,157,98.2,32.1,
"De 20 a 24 años (033)",2021,2229,2141,268,96.1,12,
"De 25 a 29 años (034)",1736,3625,3469,217,95.7,6,
"De 30 a 34 años (035)",1589,4730,4476,174,94.6,3.7,
"De 35 a 39 años (036)",1491,5934,5484,147,92.4,2.5,
"De 40 a 44 años (037)",1267,6169,5728,57,92.9,0.9,
"De 45 a 49 años (038)",1070,6011,5418,22,90.1,0.4,
