"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia LEONCIO PRADO (000)",109292,5270,12337,13965,12616,20983,16286,22858,4977
"Sin nivel (001)",14418,5270,1494,181,227,796,1368,3413,1669
"Educación inicial (002)",2290,,2130,58,18,44,40,,
"Primaria (003)",44198,,8713,9359,2574,5333,5972,9647,2600
"Secundaria (004)",34062,,,4367,8574,9051,5427,6194,449
"Superior no univ. incompleto (005)",2722,,,,457,1273,511,444,37
"Superior no univ. completo (006)",2888,,,,,1115,897,815,61
"Superior univ. incompleto (007)",4265,,,,766,2149,667,651,32
"Superior univ. completo (008)",4449,,,,,1222,1404,1694,129
"Hombres (010)",57213,2729,6383,7263,6634,10935,8280,12354,2635
"Sin nivel (011)",6015,2729,768,92,97,281,413,1082,553
"Educación inicial (012)",1186,,1113,33,5,19,16,,
"Primaria (013)",23523,,4502,4959,1342,2707,3084,5351,1578
"Secundaria (014)",18862,,,2179,4656,5049,2984,3676,318
"Superior no univ. incompleto (015)",1373,,,,193,602,269,282,27
"Superior no univ. completo (016)",1404,,,,,542,404,422,36
"Superior univ. incompleto (017)",2371,,,,341,1155,390,458,27
"Superior univ. completo (018)",2479,,,,,580,720,1083,96
"Mujeres (020)",52079,2541,5954,6702,5982,10048,8006,10504,2342
"Sin nivel (021)",8403,2541,726,89,130,515,955,2331,1116
"Educación inicial (022)",1104,,1017,25,13,25,24,,
"Primaria (023)",20675,,4211,4400,1232,2626,2888,4296,1022
"Secundaria (024)",15200,,,2188,3918,4002,2443,2518,131
"Superior no univ. incompleto (025)",1349,,,,264,671,242,162,10
"Superior no univ. completo (026)",1484,,,,,573,493,393,25
"Superior univ. incompleto (027)",1894,,,,425,994,277,193,5
"Superior univ. completo (028)",1970,,,,,642,684,611,33
,,,,,,,,,
"URBANA (030)",64565,2732,6639,7982,7857,12533,9808,14089,2925
"Sin nivel (031)",5471,2732,464,50,70,173,320,1003,659
"Educación inicial (032)",1452,,1357,41,14,22,18,,
"Primaria (033)",20619,,4818,4667,806,1511,2365,4817,1635
"Secundaria (034)",23871,,,3224,5850,5608,3907,4895,387
