"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LUYA (000)",15711,14003,664,175,869
"Agric., ganadería, caza y silvicultura (001)",11268,10915,322,16,15
"Explotación de minas y canteras (003)",6,4,,2,
"Industrias manufactureras (004)",422,396,19,6,1
"Suministro de electricidad, gas y agua (005)",9,4,1,4,
"Construcción (006)",414,306,91,12,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",738,721,15,1,1
"Venta, mant.y rep. veh.autom y motoc. (008)",21,18,3,,
"Comercio al por mayor (009)",39,37,1,,1
"Comercio al por menor (010)",678,666,11,1,
"Hoteles y restaurantes (011)",147,145,,2,
"Trans., almac. y comunicaciones (012)",160,139,13,5,3
"Activid.inmobil., empres. y alquileres (014)",30,14,7,4,5
"Admin.pub. y defensa; p. segur soc.afil (015)",285,,,,285
"Enseñanza (016)",802,199,141,109,353
"Servicios sociales y de salud (017)",177,29,7,1,140
"Otras activ. serv.comun.soc y personales (018)",201,104,33,8,56
"Hogares privados con servicio doméstico (019)",500,500,,,
"Actividad economica no especificada (021)",552,527,15,5,5
"Hombres (022)",12650,11531,519,111,489
"Agric., ganadería, caza y silvicultura (023)",10598,10290,289,10,9
"Explotación de minas y canteras (025)",6,4,,2,
"Industrias manufactureras (026)",221,208,12,1,
"Suministro de electricidad, gas y agua (027)",9,4,1,4,
"Construcción (028)",410,304,89,12,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",321,312,7,1,1
"Venta, mant.y rep. veh.autom y motoc. (030)",17,14,3,,
"Comercio al por mayor (031)",26,24,1,,1
"Comercio al por menor (032)",278,274,3,1,
"Hoteles y restaurantes (033)",22,21,,1,
"Trans., almac. y comunicaciones (034)",142,124,12,4,2
"Activid.inmobil., empres. y alquileres (036)",18,10,3,3,2
"Admin.pub. y defensa; p. segur soc.afil (037)",195,,,,195
"Enseñanza (038)",400,76,79,65,180
"Servicios sociales y de salud (039)",69,16,4,1,48
"Otras activ. serv.comun.soc y personales (040)",121,47,22,7,45
"Hogares privados con servicio doméstico (041)",19,19,,,
"Actividad economica no especificada (043)",99,96,1,,2
"Mujeres (044)",3061,2472,145,64,380
"Agric., ganadería, caza y silvicultura (045)",670,625,33,6,6
"Industrias manufactureras (048)",201,188,7,5,1
"Construcción (050)",4,2,2,,
