"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia LAMPA (000)",15715,1566,2500,6933,105,2463,134,2014
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",41,39,,,2,,,
"Profes., científicos e intelectuales (002)",847,787,,58,1,1,,
"Técnicos de nivel medio y trab. asimilados (003)",226,150,,70,3,3,,
"Jefes y empleados de oficina (004)",250,249,,1,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",831,77,16,637,13,88,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4584,,9,4517,52,6,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1804,,865,817,19,103,,
"Obreros construc.,conf.,papel, fab., instr. (008)",948,54,524,348,11,11,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",3702,98,1009,282,3,2176,134,
"Otra (010)",50,50,,,,,,
"Ocupación no especificada (011)",418,62,77,203,1,75,,
"Desocupado (012)",2014,,,,,,,2014
"Hombres (013)",10298,1131,2281,4319,71,902,19,1575
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",35,33,,,2,,,
"Profes., científicos e intelectuales (015)",597,553,,43,1,,,
"Técnicos de nivel medio y trab. asimilados (016)",188,121,,62,2,3,,
"Jefes y empleados de oficina (017)",160,160,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",266,56,12,180,2,16,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",3268,,5,3218,39,6,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",1177,,825,305,13,34,,
"Obreros construc.,conf.,papel, fab., instr. (021)",906,54,515,317,11,9,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",1862,74,859,95,1,814,19,
"Otra (023)",49,49,,,,,,
"Ocupación no especificada (024)",215,31,65,99,,20,,
"Desocupado (025)",1575,,,,,,,1575
"Mujeres (026)",5417,435,219,2614,34,1561,115,439
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",6,6,,,,,,
"Profes., científicos e intelectuales (028)",250,234,,15,,1,,
"Técnicos de nivel medio y trab. asimilados (029)",38,29,,8,1,,,
"Jefes y empleados de oficina (030)",90,89,,1,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",565,21,4,457,11,72,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",1316,,4,1299,13,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",627,,40,512,6,69,,
"Obreros construc.,conf.,papel, fab., instr. (034)",42,,9,31,,2,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",1840,24,150,187,2,1362,115,
"Otra (036)",1,1,,,,,,
"Ocupación no especificada (037)",203,31,12,104,1,55,,
"Desocupado (038)",439,,,,,,,439
,,,,,,,,
"URBANA (039)",5583,1168,919,2194,44,391,68,799
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",39,38,,,1,,,
"Profes., científicos e intelectuales (041)",620,583,,36,1,,,
"Técnicos de nivel medio y trab. asimilados (042)",133,84,,44,3,2,,
"Jefes y empleados de oficina (043)",205,204,,1,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",631,43,4,505,13,66,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",614,,7,593,13,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",857,,327,483,7,40,,
"Obreros construc.,conf.,papel, fab., instr. (047)",536,44,238,243,5,6,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",905,75,293,217,1,251,68,
"Otra (049)",45,45,,,,,,
"Ocupación no especificada (050)",199,52,50,72,,25,,
"Desocupado (051)",799,,,,,,,799
"Hombres (052)",3619,801,840,1183,27,150,5,613
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",33,32,,,1,,,
"Profes., científicos e intelectuales (054)",420,395,,24,1,,,
"Técnicos de nivel medio y trab. asimilados (055)",104,60,,40,2,2,,
"Jefes y empleados de oficina (056)",119,119,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",167,27,3,126,2,9,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",458,,5,440,12,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",552,,305,226,4,17,,
"Obreros construc.,conf.,papel, fab., instr. (060)",505,44,229,223,5,4,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",493,57,256,69,,106,5,
"Otra (062)",44,44,,,,,,
"Ocupación no especificada (063)",111,23,42,35,,11,,
"Desocupado (064)",613,,,,,,,613
"Mujeres (065)",1964,367,79,1011,17,241,63,186
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",6,6,,,,,,
"Profes., científicos e intelectuales (067)",200,188,,12,,,,
"Técnicos de nivel medio y trab. asimilados (068)",29,24,,4,1,,,
"Jefes y empleados de oficina (069)",86,85,,1,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",464,16,1,379,11,57,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",156,,2,153,1,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",305,,22,257,3,23,,
"Obreros construc.,conf.,papel, fab., instr. (073)",31,,9,20,,2,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",412,18,37,148,1,145,63,
"Otra (075)",1,1,,,,,,
"Ocupación no especificada (076)",88,29,8,37,,14,,
"Desocupado (077)",186,,,,,,,186
,,,,,,,,
"RURAL (078)",10132,398,1581,4739,61,2072,66,1215
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",2,1,,,1,,,
"Profes., científicos e intelectuales (080)",227,204,,22,,1,,
"Técnicos de nivel medio y trab. asimilados (081)",93,66,,26,,1,,
"Jefes y empleados de oficina (082)",45,45,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",200,34,12,132,,22,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",3970,,2,3924,39,5,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",947,,538,334,12,63,,
"Obreros construc.,conf.,papel, fab., instr. (086)",412,10,286,105,6,5,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",2797,23,716,65,2,1925,66,
"Otra (088)",5,5,,,,,,
"Ocupación no especificada (089)",219,10,27,131,1,50,,
"Desocupado (090)",1215,,,,,,,1215
"Hombres (091)",6679,330,1441,3136,44,752,14,962
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",2,1,,,1,,,
"Profes., científicos e intelectuales (093)",177,158,,19,,,,
"Técnicos de nivel medio y trab. asimilados (094)",84,61,,22,,1,,
"Jefes y empleados de oficina (095)",41,41,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",99,29,9,54,,7,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",2810,,,2778,27,5,,
