"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHUCUITO (000)",30747,28753,167,5860,6032,4737,6645,3626,1414,272,1994,99428
"De 12 a 14 años (001)",29,10,1,6,3,,,,,,19,12
"De 15 a 19 años (002)",719,618,18,515,74,9,2,,,,101,698
"De 20 a 24 años (003)",3202,2630,22,1590,794,184,34,6,,,572,3913
"De 25 a 29 años (004)",4179,3629,18,1306,1356,673,260,15,1,,550,7227
"De 30 a 34 años (005)",3573,3303,21,671,1062,806,632,97,11,3,270,8656
"De 35 a 39 años (006)",3520,3378,10,487,816,797,946,270,50,2,142,10775
"De 40 a 44 años (007)",2916,2835,15,276,505,545,960,414,109,11,81,10834
"De 45 a 49 años (008)",2633,2571,7,242,390,431,831,475,165,30,62,10757
"De 50 y más años (009)",9976,9779,55,767,1032,1292,2980,2349,1078,226,197,46556
"Conviviente (010)",6713,6402,52,2612,1901,938,634,199,51,15,311,13828
"De 12 a 14 años (011)",17,3,,3,,,,,,,14,3
"De 15 a 19 años (012)",520,437,8,373,52,3,1,,,,83,490
"De 20 a 24 años (013)",1718,1633,15,1031,479,95,12,1,,,85,2328
"De 25 a 29 años (014)",1715,1654,10,655,637,274,72,6,,,61,3086
"De 30 a 34 años (015)",1007,971,3,263,324,229,126,22,2,2,36,2314
"De 35 a 39 años (016)",744,733,4,146,227,160,156,31,9,,11,2018
"De 40 a 44 años (017)",394,386,4,56,106,71,99,42,6,2,8,1248
"De 45 a 49 años (018)",211,204,2,33,36,50,53,24,5,1,7,700
"De 50 y más años (019)",387,381,6,52,40,56,115,73,29,10,6,1641
"Separado(a) (020)",1004,951,10,364,237,126,137,51,21,5,53,2383
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",30,25,1,22,2,,,,,,5,26
