"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANCAYO (000)",172189,123079,15704,14388,19018
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",422,27,97,133,165
"Profes., científicos e intelectuales (002)",25997,7135,4277,6544,8041
"Técnicos de nivel medio y trab. asimilados (003)",11009,5927,1449,1610,2023
"Jefes y empleados de oficina (004)",7346,1692,914,1390,3350
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",32800,29014,2151,1095,540
"Agricult.trabaj.calif.agrop.y pesqueros (006)",13970,13231,667,50,22
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",17574,13658,2011,936,969
"Obreros construc.,conf.,papel, fab., instr. (008)",18136,14464,1418,1136,1118
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",40435,35308,2479,1305,1343
"Otra (010)",1278,,,,1278
"Ocupación no especificada (011)",3222,2623,241,189,169
"Hombres (012)",99955,69853,9748,8647,11707
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",311,20,69,90,132
"Profes., científicos e intelectuales (014)",13419,3920,2100,3235,4164
"Técnicos de nivel medio y trab. asimilados (015)",7001,3861,989,1042,1109
"Jefes y empleados de oficina (016)",3268,644,366,633,1625
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",13318,11060,1133,721,404
"Agricult.trabaj.calif.agrop.y pesqueros (018)",10305,9783,469,38,15
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",13157,9937,1559,768,893
"Obreros construc.,conf.,papel, fab., instr. (020)",17229,13739,1322,1096,1072
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",19341,15799,1604,908,1030
"Otra (022)",1160,,,,1160
"Ocupación no especificada (023)",1446,1090,137,116,103
"Mujeres (024)",72234,53226,5956,5741,7311
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",111,7,28,43,33
"Profes., científicos e intelectuales (026)",12578,3215,2177,3309,3877
"Técnicos de nivel medio y trab. asimilados (027)",4008,2066,460,568,914
"Jefes y empleados de oficina (028)",4078,1048,548,757,1725
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",19482,17954,1018,374,136
"Agricult.trabaj.calif.agrop.y pesqueros (030)",3665,3448,198,12,7
