"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia YAROWILCA (000)",11315,37752,31294,,586,82.9,1.6
"De 12 a 14 años (001)",1488,4,4,,,100,
"De 15 a 19 años (002)",1550,240,236,76,98.3,31.7,
"De 20 a 24 años (003)",1154,1114,1078,124,96.8,11.1,
"De 25 a 29 años (004)",998,2126,2005,122,94.3,5.7,
"De 30 a 34 años (005)",945,3198,2941,110,92,3.4,
"De 35 a 39 años (006)",904,3916,3546,86,90.6,2.2,
"De 40 a 44 años (007)",833,4735,4189,61,88.5,1.3,
"De 45 a 49 años (008)",718,4651,3909,7,84,0.2,
"De 50 y más años (009)",2725,17768,13386,,75.3,,
"Conviviente (010)",2979,10088,9007,365,89.3,3.6,
"De 12 a 14 años (011)",15,,,,,,
"De 15 a 19 años (012)",208,152,149,55,98,36.2,
"De 20 a 24 años (013)",531,790,763,87,96.6,11,
"De 25 a 29 años (014)",578,1457,1376,98,94.4,6.7,
"De 30 a 34 años (015)",520,1892,1739,68,91.9,3.6,
"De 35 a 39 años (016)",392,1794,1618,38,90.2,2.1,
"De 40 a 44 años (017)",293,1543,1350,18,87.5,1.2,
"De 45 a 49 años (018)",157,952,811,1,85.2,0.1,
"De 50 y más años (019)",285,1508,1201,,79.6,,
"Separado(a) (020)",484,1379,1190,29,86.3,2.1,
"De 12 a 14 años (021)",1,,,,,,
"De 15 a 19 años (022)",29,31,30,8,96.8,25.8,
"De 20 a 24 años (023)",87,102,101,9,99,8.8,
"De 25 a 29 años (024)",79,127,123,2,96.9,1.6,
"De 30 a 34 años (025)",63,156,145,3,92.9,1.9,
"De 35 a 39 años (026)",56,195,169,6,86.7,3.1,
"De 40 a 44 años (027)",39,146,135,,92.5,,
"De 45 a 49 años (028)",39,176,153,1,86.9,0.6,
"De 50 y más años (029)",91,446,334,,74.9,,
"Casado(a) (030)",3132,19813,16211,154,81.8,0.8,
"De 12 a 14 años (031)",2,,,,,,
"De 15 a 19 años (032)",14,10,10,1,100,10,
"De 20 a 24 años (033)",61,113,106,15,93.8,13.3,
"De 25 a 29 años (034)",145,429,397,18,92.5,4.2,
"De 30 a 34 años (035)",252,1024,937,34,91.5,3.3,
"De 35 a 39 años (036)",346,1771,1618,40,91.4,2.3,
"De 40 a 44 años (037)",423,2767,2451,41,88.6,1.5,
