"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TRUJILLO (000)",725738,135367,238302,167390,130675,54004
"Sin nivel (001)",29755,2587,3027,5837,8681,9623
"Educación inicial (002)",11577,10865,502,210,,
"Primaria (003)",198302,91643,26349,27164,32126,21020
"Secundaria (004)",239273,30272,109535,53891,35997,9578
"Superior no univ. incompleta (005)",43783,,24029,12201,6294,1259
"Superior no univ. completa (006)",63274,,18236,25208,16280,3550
"Superior univ. incompleta (007)",54254,,37466,9572,5902,1314
"Superior univ. completa (008)",85520,,19158,33307,25395,7660
"PEA (010)",329463,3468,116734,118161,79436,11664
"Sin nivel (011)",9126,82,1235,2861,3524,1424
"Educación inicial (012)",363,36,204,123,,
"Primaria (013)",56712,1954,15230,16860,17791,4877
"Secundaria (014)",112974,1396,49652,37377,22353,2196
"Superior no univ. incompleta (015)",24359,,11370,8507,4143,339
"Superior no univ. completa (016)",41545,,13010,18032,9828,675
"Superior univ. incompleta (017)",23132,,11512,7114,4147,359
"Superior univ. completa (018)",61252,,14521,27287,17650,1794
"Ocupada (020)",316229,3308,109670,114569,77366,11316
"Sin nivel (021)",8786,74,1154,2772,3410,1376
"Educación inicial (022)",350,36,193,121,,
"Primaria (023)",54546,1880,14448,16263,17236,4719
"Secundaria (024)",108238,1318,46796,36291,21721,2112
"Superior no univ. incompleta (025)",23385,,10758,8262,4037,328
"Superior no univ. completa (026)",39950,,12188,17481,9622,659
