"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PARINACOCHAS (000)",287,75,212
"Sin nivel (001)",18,4,14
"Primaria (003)",70,13,57
"Secundaria (004)",105,31,74
"Superior no univ. incompleta (005)",28,8,20
"Superior no univ. completa (006)",46,14,32
"Superior univ. incompleta (007)",4,1,3
"Superior univ. completa (008)",16,4,12
"Hombres (010)",197,45,152
"Sin nivel (011)",12,3,9
"Primaria (013)",51,8,43
"Secundaria (014)",73,16,57
"Superior no univ. incompleta (015)",19,6,13
"Superior no univ. completa (016)",30,8,22
"Superior univ. incompleta (017)",2,1,1
"Superior univ. completa (018)",10,3,7
"Mujeres (020)",90,30,60
"Sin nivel (021)",6,1,5
"Primaria (023)",19,5,14
"Secundaria (024)",32,15,17
"Superior no univ. incompleta (025)",9,2,7
"Superior no univ. completa (026)",16,6,10
"Superior univ. incompleta (027)",2,,2
"Superior univ. completa (028)",6,1,5
,,,
"AREA URBANA (030)",198,45,153
"Sin nivel (031)",6,,6
"Primaria (033)",41,6,35
"Secundaria (034)",72,19,53
"Superior no univ. incompleta (035)",22,5,17
"Superior no univ. completa (036)",40,11,29
"Superior univ. incompleta (037)",4,1,3
"Superior univ. completa (038)",13,3,10
"Hombres (040)",122,22,100
"Sin nivel (041)",1,,1
"Primaria (043)",28,3,25
"Secundaria (044)",46,7,39
"Superior no univ. incompleta (045)",13,3,10
"Superior no univ. completa (046)",25,6,19
"Superior univ. incompleta (047)",2,1,1
"Superior univ. completa (048)",7,2,5
"Mujeres (050)",76,23,53
"Sin nivel (051)",5,,5
"Primaria (053)",13,3,10
"Secundaria (054)",26,12,14
"Superior no univ. incompleta (055)",9,2,7
"Superior no univ. completa (056)",15,5,10
"Superior univ. incompleta (057)",2,,2
"Superior univ. completa (058)",6,1,5
,,,
"AREA RURAL (060)",89,30,59
"Sin nivel (061)",12,4,8
"Primaria (063)",29,7,22
"Secundaria (064)",33,12,21
"Superior no univ. incompleta (065)",6,3,3
"Superior no univ. completa (066)",6,3,3
"Superior univ. completa (068)",3,1,2
"Hombres (070)",75,23,52
"Sin nivel (071)",11,3,8
"Primaria (073)",23,5,18
"Secundaria (074)",27,9,18
"Superior no univ. incompleta (075)",6,3,3
"Superior no univ. completa (076)",5,2,3
"Superior univ. completa (078)",3,1,2
"Mujeres (080)",14,7,7
"Sin nivel (081)",1,1,
"Primaria (083)",6,2,4
"Secundaria (084)",6,3,3
"Superior no univ. completa (086)",1,1,
