"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia MORROPON (000)",50660,6164,10216,23089,854,5514,810,4013
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",63,62,,,1,,,
"Profes., científicos e intelectuales (002)",2221,1994,,208,9,10,,
"Técnicos de nivel medio y trab. asimilados (003)",915,648,,221,28,13,5,
"Jefes y empleados de oficina (004)",874,865,,3,,6,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5262,893,27,3708,117,516,1,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",13319,8,14,12759,532,6,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",2642,,768,1743,59,72,,
"Obreros construc.,conf.,papel, fab., instr. (008)",3454,456,774,2118,69,37,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",16181,789,8268,1732,21,4567,804,
"Otra (010)",99,99,,,,,,
"Ocupación no especificada (011)",1617,350,365,597,18,287,,
"Desocupado (012)",4013,,,,,,,4013
"Hombres (013)",39663,3325,9236,18756,737,4133,31,3445
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",48,47,,,1,,,
"Profes., científicos e intelectuales (015)",907,803,,95,7,2,,
"Técnicos de nivel medio y trab. asimilados (016)",555,365,,158,21,10,1,
"Jefes y empleados de oficina (017)",395,392,,1,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",2370,522,7,1662,61,118,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",12836,7,13,12298,513,5,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",2103,,692,1324,47,40,,
"Obreros construc.,conf.,papel, fab., instr. (021)",3349,450,743,2056,68,32,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",12882,511,7527,935,8,3871,30,
"Otra (023)",89,89,,,,,,
"Ocupación no especificada (024)",684,139,254,227,11,53,,
"Desocupado (025)",3445,,,,,,,3445
"Mujeres (026)",10997,2839,980,4333,117,1381,779,568
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",15,15,,,,,,
"Profes., científicos e intelectuales (028)",1314,1191,,113,2,8,,
"Técnicos de nivel medio y trab. asimilados (029)",360,283,,63,7,3,4,
"Jefes y empleados de oficina (030)",479,473,,2,,4,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",2892,371,20,2046,56,398,1,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",483,1,1,461,19,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",539,,76,419,12,32,,
"Obreros construc.,conf.,papel, fab., instr. (034)",105,6,31,62,1,5,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",3299,278,741,797,13,696,774,
"Otra (036)",10,10,,,,,,
"Ocupación no especificada (037)",933,211,111,370,7,234,,
"Desocupado (038)",568,,,,,,,568
,,,,,,,,
"URBANA (039)",31016,5445,6081,13872,614,2037,641,2326
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",57,56,,,1,,,
"Profes., científicos e intelectuales (041)",1884,1679,,187,9,9,,
"Técnicos de nivel medio y trab. asimilados (042)",830,580,,208,26,11,5,
"Jefes y empleados de oficina (043)",825,817,,2,,6,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",4577,809,25,3182,106,454,1,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",5578,6,10,5235,327,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",2145,,527,1520,53,45,,
"Obreros construc.,conf.,papel, fab., instr. (047)",2843,406,605,1741,60,31,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",8707,707,4633,1389,17,1326,635,
"Otra (049)",93,93,,,,,,
"Ocupación no especificada (050)",1151,292,281,408,15,155,,
"Desocupado (051)",2326,,,,,,,2326
"Hombres (052)",22542,2928,5410,10437,508,1324,24,1911
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",43,42,,,1,,,
"Profes., científicos e intelectuales (054)",768,669,,91,7,1,,
"Técnicos de nivel medio y trab. asimilados (055)",503,327,,148,19,8,1,
"Jefes y empleados de oficina (056)",366,364,,,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",2013,459,6,1396,55,97,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",5384,6,9,5058,311,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",1734,,462,1197,41,34,,
"Obreros construc.,conf.,papel, fab., instr. (060)",2761,401,588,1685,60,27,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",6454,458,4146,699,5,1123,23,
"Otra (062)",83,83,,,,,,
"Ocupación no especificada (063)",522,119,199,163,9,32,,
"Desocupado (064)",1911,,,,,,,1911
"Mujeres (065)",8474,2517,671,3435,106,713,617,415
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",14,14,,,,,,
"Profes., científicos e intelectuales (067)",1116,1010,,96,2,8,,
"Técnicos de nivel medio y trab. asimilados (068)",327,253,,60,7,3,4,
"Jefes y empleados de oficina (069)",459,453,,2,,4,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",2564,350,19,1786,51,357,1,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",194,,1,177,16,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",411,,65,323,12,11,,
"Obreros construc.,conf.,papel, fab., instr. (073)",82,5,17,56,,4,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",2253,249,487,690,12,203,612,
"Otra (075)",10,10,,,,,,
"Ocupación no especificada (076)",629,173,82,245,6,123,,
"Desocupado (077)",415,,,,,,,415
,,,,,,,,
"RURAL (078)",19644,719,4135,9217,240,3477,169,1687
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",6,6,,,,,,
"Profes., científicos e intelectuales (080)",337,315,,21,,1,,
"Técnicos de nivel medio y trab. asimilados (081)",85,68,,13,2,2,,
"Jefes y empleados de oficina (082)",49,48,,1,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",685,84,2,526,11,62,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",7741,2,4,7524,205,6,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",497,,241,223,6,27,,
"Obreros construc.,conf.,papel, fab., instr. (086)",611,50,169,377,9,6,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",7474,82,3635,343,4,3241,169,
"Otra (088)",6,6,,,,,,
"Ocupación no especificada (089)",466,58,84,189,3,132,,
"Desocupado (090)",1687,,,,,,,1687
"Hombres (091)",17121,397,3826,8319,229,2809,7,1534
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",5,5,,,,,,
"Profes., científicos e intelectuales (093)",139,134,,4,,1,,
"Técnicos de nivel medio y trab. asimilados (094)",52,38,,10,2,2,,
