"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CARAVELI (000)",12119,7439,4680
"Casa independiente (001)",10846,7022,3824
"Departamento en edificio (002)",4,4,
"Vivienda en quinta (003)",86,86,
"Vivienda en casa de vecindad (004)",136,136,
"Choza o cabaña (005)",850,,850
"Vivienda improvisada (006)",158,158,
"Local no dest.para hab. humana (007)",26,25,1
"Otro tipo (008)",13,8,5
