"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia PAITA (000)",108535,107239,961,335
"Hombres (001)",54581,53960,456,165
"Mujeres (002)",53954,53279,505,170
"Menores de 1 año (003)",2580,2131,348,101
"Hombres (004)",1299,1074,182,43
"Mujeres (005)",1281,1057,166,58
"De 1 a 5 años (006)",12786,12093,480,213
"Hombres (007)",6452,6094,243,115
"Mujeres (008)",6334,5999,237,98
"De 6 a 14 años (009)",20456,20436,16,4
"Hombres (010)",10341,10333,6,2
"Mujeres (011)",10115,10103,10,2
"De 15 a 29 años (012)",30806,30794,7,5
"Hombres (013)",15305,15300,2,3
"Mujeres (014)",15501,15494,5,2
"De 30 a 44 años (015)",22048,22046,1,1
"Hombres (016)",10918,10918,,
"Mujeres (017)",11130,11128,1,1
"De 45 a 64 años (018)",14325,14298,26,1
"Hombres (019)",7370,7364,6,
"Mujeres (020)",6955,6934,20,1
"De 65 a más años (021)",5534,5441,83,10
"Hombres (022)",2896,2877,17,2
"Mujeres (023)",2638,2564,66,8
,,,,
"URBANA (024)",103615,102361,927,327
"Hombres (025)",51974,51370,442,162
"Mujeres (026)",51641,50991,485,165
"Menores de 1 año (027)",2463,2033,332,98
"Hombres (028)",1240,1026,172,42
"Mujeres (029)",1223,1007,160,56
"De 1 a 5 años (030)",12242,11559,473,210
"Hombres (031)",6181,5826,241,114
"Mujeres (032)",6061,5733,232,96
"De 6 a 14 años (033)",19505,19485,16,4
"Hombres (034)",9835,9827,6,2
"Mujeres (035)",9670,9658,10,2
"De 15 a 29 años (036)",29429,29419,6,4
"Hombres (037)",14599,14595,2,2
"Mujeres (038)",14830,14824,4,2
"De 30 a 44 años (039)",21083,21081,1,1
"Hombres (040)",10378,10378,,
"Mujeres (041)",10705,10703,1,1
"De 45 a 64 años (042)",13661,13637,23,1
"Hombres (043)",7013,7008,5,
"Mujeres (044)",6648,6629,18,1
"De 65 a más años (045)",5232,5147,76,9
"Hombres (046)",2728,2710,16,2
"Mujeres (047)",2504,2437,60,7
,,,,
"RURAL (048)",4920,4878,34,8
"Hombres (049)",2607,2590,14,3
"Mujeres (050)",2313,2288,20,5
"Menores de 1 año (051)",117,98,16,3
"Hombres (052)",59,48,10,1
"Mujeres (053)",58,50,6,2
"De 1 a 5 años (054)",544,534,7,3
"Hombres (055)",271,268,2,1
"Mujeres (056)",273,266,5,2
"De 6 a 14 años (057)",951,951,,
"Hombres (058)",506,506,,
"Mujeres (059)",445,445,,
"De 15 a 29 años (060)",1377,1375,1,1
"Hombres (061)",706,705,,1
"Mujeres (062)",671,670,1,
"De 30 a 44 años (063)",965,965,,
"Hombres (064)",540,540,,
"Mujeres (065)",425,425,,
"De 45 a 64 años (066)",664,661,3,
"Hombres (067)",357,356,1,
"Mujeres (068)",307,305,2,
"De 65 a más años (069)",302,294,7,1
"Hombres (070)",168,167,1,
"Mujeres (071)",134,127,6,1
