"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CHUPACA (000)",18885,34,1542,382,350,1711,4792,1460,1716,6404,91,403
"Agric., ganadería, caza y silvicultura (001)",9523,1,20,4,2,,4779,3,12,4702,,
"Pesca (002)",15,,,2,,,13,,,,,
"Explotación de minas y canteras (003)",236,,13,7,3,2,,156,11,44,,
"Industrias manufactureras (004)",1425,,12,19,6,16,,1041,315,16,,
"Suministro de electricidad, gas y agua (005)",31,,3,6,6,,,5,5,6,,
"Construcción (006)",733,,21,23,6,,,42,521,120,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2048,,26,67,9,1259,,192,24,471,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",208,,2,13,1,26,,144,12,10,,
"Comercio al por mayor (009)",69,,2,5,,56,,,2,4,,
"Comercio al por menor (010)",1771,,22,49,8,1177,,48,10,457,,
"Hoteles y restaurantes (011)",602,,3,4,9,319,,2,,265,,
"Trans., almac. y comunicaciones (012)",1062,,3,9,19,2,,,805,224,,
"Intermediación financiera (013)",14,,2,2,8,,,,,2,,
"Activid.inmobil., empres. y alquileres (014)",368,1,90,67,94,42,,10,13,51,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",351,26,36,11,145,4,,4,6,28,91,
"Enseñanza (016)",1215,6,1157,8,19,,,1,1,23,,
"Servicios sociales y de salud (017)",241,,100,97,14,7,,2,1,20,,
"Otras activ. serv.comun.soc y personales (018)",304,,55,53,6,60,,2,2,126,,
"Hogares privados con servicio doméstico (019)",300,,,2,,,,,,298,,
"Actividad economica no especificada (021)",417,,1,1,4,,,,,8,,403
"Hombres (022)",11279,28,855,265,210,641,3104,1243,1694,2979,86,174
"Agric., ganadería, caza y silvicultura (023)",5365,1,14,3,1,,3093,2,12,2239,,
"Pesca (024)",12,,,1,,,11,,,,,
"Explotación de minas y canteras (025)",232,,13,7,2,2,,154,11,43,,
"Industrias manufactureras (026)",1190,,7,12,5,5,,835,310,16,,
"Suministro de electricidad, gas y agua (027)",29,,2,6,6,,,5,5,5,,
"Construcción (028)",717,,20,23,4,,,42,513,115,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",896,,15,44,5,453,,188,24,167,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",199,,2,13,1,21,,142,12,8,,
"Comercio al por mayor (031)",33,,2,2,,25,,,2,2,,
"Comercio al por menor (032)",664,,11,29,4,407,,46,10,157,,
"Hoteles y restaurantes (033)",185,,1,3,4,119,,2,,56,,
"Trans., almac. y comunicaciones (034)",1007,,1,6,13,1,,,796,190,,
"Intermediación financiera (035)",8,,1,1,5,,,,,1,,
"Activid.inmobil., empres. y alquileres (036)",280,1,67,57,51,39,,9,13,43,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",258,22,24,8,88,4,,3,6,17,86,
"Enseñanza (038)",640,4,598,5,12,,,1,1,19,,
"Servicios sociales y de salud (039)",102,,45,39,8,4,,1,1,4,,
"Otras activ. serv.comun.soc y personales (040)",159,,47,48,4,14,,1,2,43,,
"Hogares privados con servicio doméstico (041)",17,,,1,,,,,,16,,
"Actividad economica no especificada (043)",182,,,1,2,,,,,5,,174
"Mujeres (044)",7606,6,687,117,140,1070,1688,217,22,3425,5,229
"Agric., ganadería, caza y silvicultura (045)",4158,,6,1,1,,1686,1,,2463,,
"Pesca (046)",3,,,1,,,2,,,,,
"Explotación de minas y canteras (047)",4,,,,1,,,2,,1,,
"Industrias manufactureras (048)",235,,5,7,1,11,,206,5,,,
"Suministro de electricidad, gas y agua (049)",2,,1,,,,,,,1,,
"Construcción (050)",16,,1,,2,,,,8,5,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1152,,11,23,4,806,,4,,304,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",9,,,,,5,,2,,2,,
"Comercio al por mayor (053)",36,,,3,,31,,,,2,,
"Comercio al por menor (054)",1107,,11,20,4,770,,2,,300,,
"Hoteles y restaurantes (055)",417,,2,1,5,200,,,,209,,
"Trans., almac. y comunicaciones (056)",55,,2,3,6,1,,,9,34,,
"Intermediación financiera (057)",6,,1,1,3,,,,,1,,
"Activid.inmobil., empres. y alquileres (058)",88,,23,10,43,3,,1,,8,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",93,4,12,3,57,,,1,,11,5,
"Enseñanza (060)",575,2,559,3,7,,,,,4,,
"Servicios sociales y de salud (061)",139,,55,58,6,3,,1,,16,,
"Otras activ. serv.comun.soc y personales (062)",145,,8,5,2,46,,1,,83,,
"Hogares privados con servicio doméstico (063)",283,,,1,,,,,,282,,
"Actividad economica no especificada (065)",235,,1,,2,,,,,3,,229
,,,,,,,,,,,,
"URBANA (066)",11952,24,1287,295,266,1429,2367,1148,1294,3450,78,314
"Agric., ganadería, caza y silvicultura (067)",4564,1,12,2,2,,2358,3,6,2180,,
"Pesca (068)",11,,,2,,,9,,,,,
"Explotación de minas y canteras (069)",122,,12,5,2,,,75,7,21,,
"Industrias manufactureras (070)",1226,,11,14,2,11,,872,304,12,,
"Suministro de electricidad, gas y agua (071)",20,,2,5,5,,,2,,6,,
"Construcción (072)",528,,18,21,4,,,37,372,76,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",1676,,22,50,8,1051,,141,17,387,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",159,,2,8,1,25,,105,10,8,,
"Comercio al por mayor (075)",57,,2,5,,47,,,2,1,,
"Comercio al por menor (076)",1460,,18,37,7,979,,36,5,378,,
"Hoteles y restaurantes (077)",522,,3,4,5,279,,2,,229,,
"Trans., almac. y comunicaciones (078)",770,,3,8,14,1,,,573,171,,
"Intermediación financiera (079)",11,,1,2,6,,,,,2,,
"Activid.inmobil., empres. y alquileres (080)",301,1,84,56,76,28,,10,7,39,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",272,16,31,9,109,4,,4,4,17,78,
"Enseñanza (082)",1007,6,963,7,16,,,,1,14,,
"Servicios sociales y de salud (083)",188,,81,71,10,6,,,1,19,,
"Otras activ. serv.comun.soc y personales (084)",252,,44,36,3,49,,2,2,116,,
"Hogares privados con servicio doméstico (085)",156,,,2,,,,,,154,,
"Actividad economica no especificada (087)",326,,,1,4,,,,,7,,314
"Hombres (088)",7086,20,709,204,155,520,1467,976,1279,1558,74,124
"Agric., ganadería, caza y silvicultura (089)",2497,1,9,2,1,,1460,2,6,1016,,
"Pesca (090)",8,,,1,,,7,,,,,
"Explotación de minas y canteras (091)",122,,12,5,2,,,75,7,21,,
"Industrias manufactureras (092)",1037,,7,9,1,1,,708,299,12,,
