"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia LIMA (000)",3156317,5562836,5304218,,101255,95.4,1.8
"De 12 a 14 años (001)",197904,1302,1233,,68,94.7,5.2
"De 15 a 19 años (002)",365311,32509,31983,8571,98.4,26.4,
"De 20 a 24 años (003)",388619,175463,173242,23048,98.7,13.1,
"De 25 a 29 años (004)",365893,338099,333915,25585,98.8,7.6,
"De 30 a 34 años (005)",338333,496426,488664,23457,98.4,4.7,
"De 35 a 39 años (006)",296779,588341,577506,14886,98.2,2.5,
"De 40 a 44 años (007)",257661,614974,600096,5075,97.6,0.8,
"De 45 a 49 años (008)",217104,587378,569071,557,96.9,0.1,
"De 50 y más años (009)",728713,2728344,2528508,8,92.7,,
"Sin nivel (010)",103707,482764,423562,1089,87.7,0.2,
"De 12 a 14 años (011)",1477,29,29,1,100,3.4,
"De 15 a 19 años (012)",2197,254,253,38,99.6,15,
"De 20 a 24 años (013)",2165,1175,1156,102,98.4,8.7,
"De 25 a 29 años (014)",2300,2673,2586,133,96.7,5,
"De 30 a 34 años (015)",5630,11247,10909,397,97,3.5,
"De 35 a 39 años (016)",5899,15574,15100,283,97,1.8,
"De 40 a 44 años (017)",6276,20652,19626,110,95,0.5,
"De 45 a 49 años (018)",6705,26820,25248,24,94.1,0.1,
"De 50 y más años (019)",71058,404340,348655,1,86.2,,
"Educacion Inicial (020)",3568,2699,2626,128,97.3,4.7,
"De 12 a 14 años (021)",817,12,11,1,91.7,8.3,
"De 15 a 19 años (022)",660,59,58,10,98.3,16.9,
"De 20 a 24 años (023)",605,321,316,33,98.4,10.3,
"De 25 a 29 años (024)",573,646,627,40,97.1,6.2,
"De 30 a 34 años (025)",580,975,951,34,97.5,3.5,
"De 35 a 39 años (026)",333,686,663,10,96.6,1.5,
"Primaria (030)",472328,1474767,1377421,9492,93.4,0.6,
"De 12 a 14 años (031)",55238,344,332,20,96.5,5.8,
"De 15 a 19 años (032)",20541,3516,3456,807,98.3,23,
"De 20 a 24 años (033)",19938,17286,17023,1807,98.5,10.5,
"De 25 a 29 años (034)",23411,37022,36395,2144,98.3,5.8,
"De 30 a 34 años (035)",29305,64941,63548,2228,97.9,3.4,
"De 35 a 39 años (036)",31476,88467,86107,1629,97.3,1.8,
