"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CONTUMAZA (000)",9230,178,2569,3137,2529,817
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",29,,1,12,15,1
"Profes., científicos e intelectuales (002)",907,,110,548,244,5
"Técnicos de nivel medio y trab. asimilados (003)",178,,49,70,53,6
"Jefes y empleados de oficina (004)",188,,55,60,70,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",710,6,172,244,236,52
"Agricult. trabaj. calif.agrop. y pesqueros (006)",2728,25,500,847,875,481
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",511,15,174,159,123,40
"Obreros construc., conf., papel, fab., instr. (008)",515,1,150,197,149,18
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",3254,130,1302,917,714,191
"Otra (010)",45,,10,25,10,
"Ocupación no especificada (011)",165,1,46,58,40,20
"Hombres (012)",7235,139,2059,2335,1987,715
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",24,,1,7,15,1
"Profes., científicos e intelectuales (014)",440,,46,263,127,4
"Técnicos de nivel medio y trab. asimilados (015)",120,,35,41,38,6
"Jefes y empleados de oficina (016)",102,,25,30,44,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",316,2,79,104,101,30
"Agricult. trabaj. calif.agrop. y pesqueros (018)",2656,23,490,829,850,464
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",315,4,96,105,82,28
"Obreros construc., conf., papel, fab., instr. (020)",508,1,147,195,147,18
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",2624,108,1105,708,554,149
"Otra (022)",45,,10,25,10,
"Ocupación no especificada (023)",85,1,25,28,19,12
"Mujeres (024)",1995,39,510,802,542,102
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",5,,,5,,
"Profes., científicos e intelectuales (026)",467,,64,285,117,1
"Técnicos de nivel medio y trab. asimilados (027)",58,,14,29,15,
"Jefes y empleados de oficina (028)",86,,30,30,26,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",394,4,93,140,135,22
"Agricult. trabaj. calif.agrop. y pesqueros (030)",72,2,10,18,25,17
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",196,11,78,54,41,12
"Obreros construc., conf., papel, fab., instr. (032)",7,,3,2,2,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",630,22,197,209,160,42
