"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SAN MARTIN (000)",38662,33894,4768
"Casa independiente (001)",33788,30831,2957
"Departamento en edificio (002)",273,273,
"Vivienda en quinta (003)",2024,2024,
"Vivienda en casa de vecindad (004)",424,424,
"Choza o cabaña (005)",1806,,1806
"Vivienda improvisada (006)",252,252,
"Local no dest.para hab. humana (007)",70,67,3
"Otro tipo (008)",25,23,2
