"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SIHUAS (000)",26260,7570,7044,5091,4203,2352
"Sin nivel (001)",5552,264,510,1354,1846,1578
"Educación inicial (002)",663,619,28,16,,
"Primaria (003)",11327,5634,1731,1807,1534,621
"Secundaria (004)",5907,1053,3535,883,364,72
"Superior no univ. incompleta (005)",620,,428,144,37,11
"Superior no univ. completa (006)",907,,286,431,154,36
"Superior univ. incompleta (007)",510,,356,113,35,6
"Superior univ. completa (008)",774,,170,343,233,28
"PEA (010)",8720,134,2534,2929,2275,848
"Sin nivel (011)",1697,3,112,479,655,448
"Educación inicial (012)",20,7,9,4,,
"Primaria (013)",3095,101,694,994,977,329
"Secundaria (014)",2034,23,1104,598,273,36
"Superior no univ. incompleta (015)",297,,164,104,26,3
"Superior no univ. completa (016)",707,,201,365,125,16
"Superior univ. incompleta (017)",238,,124,84,25,5
"Superior univ. completa (018)",632,,126,301,194,11
"Ocupada (020)",8288,127,2333,2813,2192,823
"Sin nivel (021)",1643,2,102,464,636,439
"Educación inicial (022)",18,7,7,4,,
"Primaria (023)",2956,96,661,954,930,315
"Secundaria (024)",1900,22,1008,572,263,35
"Superior no univ. incompleta (025)",272,,146,98,25,3
"Superior no univ. completa (026)",669,,177,352,124,16
"Superior univ. incompleta (027)",220,,114,78,24,4
"Superior univ. completa (028)",610,,118,291,190,11
"Desocupada (030)",432,7,201,116,83,25
"Sin nivel (031)",54,1,10,15,19,9
