"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHINCHA (000)",56981,51130,83,11649,12421,9739,10220,4425,1825,768,5851,162326
"De 12 a 14 años (001)",66,16,1,14,1,,,,,,50,16
"De 15 a 19 años (002)",1546,1218,4,1072,118,16,8,,,,328,1388
"De 20 a 24 años (003)",6425,4650,11,3189,1176,218,44,12,,,1775,6454
"De 25 a 29 años (004)",7629,6181,5,2589,2351,942,277,14,3,,1448,11384
"De 30 a 34 años (005)",7547,6819,9,1586,2645,1625,879,65,5,5,728,15980
"De 35 a 39 años (006)",6746,6314,8,877,1966,1856,1343,225,34,5,432,17887
"De 40 a 44 años (007)",5761,5483,6,635,1367,1468,1543,394,57,13,278,17551
"De 45 a 49 años (008)",4768,4551,7,427,891,1085,1420,553,128,40,217,16697
"De 50 y más años (009)",16493,15898,32,1260,1906,2529,4706,3162,1598,705,595,74969
"Conviviente (010)",11691,11035,15,3929,2997,1789,1503,553,181,68,656,27609
"De 12 a 14 años (011)",49,10,1,9,,,,,,,39,9
"De 15 a 19 años (012)",975,731,3,645,74,8,1,,,,244,821
"De 20 a 24 años (013)",2495,2278,6,1518,587,131,26,10,,,217,3258
"De 25 a 29 años (014)",2422,2331,1,880,907,383,149,9,2,,91,4548
"De 30 a 34 años (015)",1867,1838,1,425,660,417,297,33,1,4,29,4520
"De 35 a 39 años (016)",1326,1309,,170,358,374,304,87,14,2,17,4030
"De 40 a 44 años (017)",883,878,,118,186,208,270,81,11,4,5,2931
"De 45 a 49 años (018)",578,573,1,65,83,118,170,101,27,8,5,2295
"De 50 y más años (019)",1096,1087,2,99,142,150,286,232,126,50,9,5197
"Separado(a) (020)",4120,4035,8,1173,1018,670,746,302,91,27,85,11474
"De 12 a 14 años (021)",3,1,,,1,,,,,,2,2
