"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SAN IGNACIO (000)",805,247,558
"Sin nivel (001)",58,11,47
"Primaria (003)",395,107,288
"Secundaria (004)",266,95,171
"Superior no univ. incompleta (005)",23,8,15
"Superior no univ. completa (006)",32,13,19
"Superior univ. incompleta (007)",10,4,6
"Superior univ. completa (008)",21,9,12
"Hombres (010)",614,168,446
"Sin nivel (011)",38,10,28
"Primaria (013)",334,81,253
"Secundaria (014)",198,61,137
"Superior no univ. incompleta (015)",12,3,9
"Superior no univ. completa (016)",17,7,10
"Superior univ. incompleta (017)",6,1,5
"Superior univ. completa (018)",9,5,4
"Mujeres (020)",191,79,112
"Sin nivel (021)",20,1,19
"Primaria (023)",61,26,35
"Secundaria (024)",68,34,34
"Superior no univ. incompleta (025)",11,5,6
"Superior no univ. completa (026)",15,6,9
"Superior univ. incompleta (027)",4,3,1
"Superior univ. completa (028)",12,4,8
,,,
"AREA URBANA (030)",249,74,175
"Sin nivel (031)",7,2,5
"Primaria (033)",74,16,58
"Secundaria (034)",103,37,66
"Superior no univ. incompleta (035)",17,4,13
"Superior no univ. completa (036)",24,6,18
"Superior univ. incompleta (037)",10,4,6
"Superior univ. completa (038)",14,5,9
"Hombres (040)",167,36,131
"Sin nivel (041)",5,2,3
"Primaria (043)",58,8,50
"Secundaria (044)",73,21,52
"Superior no univ. incompleta (045)",8,1,7
"Superior no univ. completa (046)",12,2,10
"Superior univ. incompleta (047)",6,1,5
"Superior univ. completa (048)",5,1,4
"Mujeres (050)",82,38,44
"Sin nivel (051)",2,,2
"Primaria (053)",16,8,8
"Secundaria (054)",30,16,14
"Superior no univ. incompleta (055)",9,3,6
"Superior no univ. completa (056)",12,4,8
"Superior univ. incompleta (057)",4,3,1
"Superior univ. completa (058)",9,4,5
,,,
"AREA RURAL (060)",556,173,383
"Sin nivel (061)",51,9,42
"Primaria (063)",321,91,230
"Secundaria (064)",163,58,105
"Superior no univ. incompleta (065)",6,4,2
"Superior no univ. completa (066)",8,7,1
"Superior univ. completa (068)",7,4,3
"Hombres (070)",447,132,315
"Sin nivel (071)",33,8,25
"Primaria (073)",276,73,203
"Secundaria (074)",125,40,85
"Superior no univ. incompleta (075)",4,2,2
"Superior no univ. completa (076)",5,5,
"Superior univ. completa (078)",4,4,
"Mujeres (080)",109,41,68
"Sin nivel (081)",18,1,17
"Primaria (083)",45,18,27
"Secundaria (084)",38,18,20
"Superior no univ. incompleta (085)",2,2,
"Superior no univ. completa (086)",3,2,1
"Superior univ. completa (088)",3,,3
