"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia MARAÑON (000)",8605,27318,23175,,650,84.8,2.4
"De 12 a 14 años (001)",1094,7,7,,1,100,14.3
"De 15 a 19 años (002)",1259,289,283,91,97.9,31.5,
"De 20 a 24 años (003)",981,1230,1178,153,95.8,12.4,
"De 25 a 29 años (004)",840,1944,1836,133,94.4,6.8,
"De 30 a 34 años (005)",798,2766,2532,122,91.5,4.4,
"De 35 a 39 años (006)",784,3648,3303,94,90.5,2.6,
"De 40 a 44 años (007)",580,3276,2939,48,89.7,1.5,
"De 45 a 49 años (008)",524,3230,2764,8,85.6,0.2,
"De 50 y más años (009)",1745,10928,8333,,76.3,,
"Sin nivel (010)",2460,13611,10617,161,78,1.2,
"De 12 a 14 años (011)",10,,,,,,
"De 15 a 19 años (012)",67,22,22,6,100,27.3,
"De 20 a 24 años (013)",101,141,134,16,95,11.3,
"De 25 a 29 años (014)",145,425,383,40,90.1,9.4,
"De 30 a 34 años (015)",189,773,680,41,88,5.3,
"De 35 a 39 años (016)",219,1188,1032,31,86.9,2.6,
"De 40 a 44 años (017)",226,1413,1203,24,85.1,1.7,
"De 45 a 49 años (018)",241,1617,1310,3,81,0.2,
"De 50 y más años (019)",1262,8032,5853,,72.9,,
"Educacion Inicial (020)",13,47,42,1,89.4,2.1,
"De 12 a 14 años (021)",1,2,2,,100,,
"De 20 a 24 años (023)",1,1,1,,100,,
"De 25 a 29 años (024)",4,10,10,,100,,
"De 30 a 34 años (025)",4,17,12,,70.6,,
"De 35 a 39 años (026)",3,17,17,1,100,5.9,
"Primaria (030)",3897,10820,9812,329,90.7,3,
"De 12 a 14 años (031)",809,2,2,,100,,
"De 15 a 19 años (032)",515,157,153,50,97.5,31.8,
"De 20 a 24 años (033)",479,731,692,85,94.7,11.6,
"De 25 a 29 años (034)",396,1041,991,61,95.2,5.9,
"De 30 a 34 años (035)",381,1468,1353,64,92.2,4.4,
"De 35 a 39 años (036)",413,1954,1791,45,91.7,2.3,
"De 40 a 44 años (037)",275,1552,1439,20,92.7,1.3,
"De 45 a 49 años (038)",220,1355,1213,4,89.5,0.3,
"De 50 y más años (039)",409,2560,2178,,85.1,,
"Secundaria (040)",1797,2067,1967,133,95.2,6.4,
