"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHEPEN (000)",1764,34,866,494,305,65
"Conviviente (001)",507,,146,224,121,16
"Separado(a) (002)",77,,16,27,30,4
"Casado(a) (003)",271,,33,107,101,30
"Viudo(a) (004)",18,,1,2,7,8
"Divorciado(a) (005)",6,,,3,2,1
"Soltero(a) (006)",885,34,670,131,44,6
"Hombres (008)",1316,26,590,374,267,59
"Conviviente (009)",419,,107,186,111,15
"Separado(a) (010)",37,,4,11,18,4
"Casado(a) (011)",231,,24,83,95,29
"Viudo(a) (012)",13,,1,1,4,7
"Divorciado(a) (013)",5,,,3,2,
"Soltero(a) (014)",611,26,454,90,37,4
"Mujeres (016)",448,8,276,120,38,6
"Conviviente (017)",88,,39,38,10,1
"Separado(a) (018)",40,,12,16,12,
"Casado(a) (019)",40,,9,24,6,1
"Viudo(a) (020)",5,,,1,3,1
"Divorciado(a) (021)",1,,,,,1
"Soltero(a) (022)",274,8,216,41,7,2
,,,,,,
"AREA URBANA (024)",1424,26,700,395,248,55
"Conviviente (025)",392,,114,170,96,12
"Separado(a) (026)",63,,16,19,24,4
"Casado(a) (027)",222,,24,88,82,28
"Viudo(a) (028)",16,,1,2,6,7
"Divorciado(a) (029)",6,,,3,2,1
"Soltero(a) (030)",725,26,545,113,38,3
"Hombres (032)",1021,19,449,287,215,51
"Conviviente (033)",311,,76,138,86,11
"Separado(a) (034)",32,,4,7,17,4
"Casado(a) (035)",184,,16,65,76,27
"Viudo(a) (036)",11,,1,1,3,6
"Divorciado(a) (037)",5,,,3,2,
"Soltero(a) (038)",478,19,352,73,31,3
"Mujeres (040)",403,7,251,108,33,4
"Conviviente (041)",81,,38,32,10,1
"Separado(a) (042)",31,,12,12,7,
"Casado(a) (043)",38,,8,23,6,1
"Viudo(a) (044)",5,,,1,3,1
"Divorciado(a) (045)",1,,,,,1
"Soltero(a) (046)",247,7,193,40,7,
,,,,,,
"AREA RURAL (048)",340,8,166,99,57,10
"Conviviente (049)",115,,32,54,25,4
"Separado(a) (050)",14,,,8,6,
"Casado(a) (051)",49,,9,19,19,2
"Viudo(a) (052)",2,,,,1,1
"Soltero(a) (054)",160,8,125,18,6,3
"Hombres (056)",295,7,141,87,52,8
"Conviviente (057)",108,,31,48,25,4
"Separado(a) (058)",5,,,4,1,
"Casado(a) (059)",47,,8,18,19,2
"Viudo(a) (060)",2,,,,1,1
"Soltero(a) (062)",133,7,102,17,6,1
"Mujeres (064)",45,1,25,12,5,2
"Conviviente (065)",7,,1,6,,
"Separado(a) (066)",9,,,4,5,
"Casado(a) (067)",2,,1,1,,
"Soltero(a) (070)",27,1,23,1,,2
