"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUAYLAS (000)",16097,2183,22,7237,3656,500,1242,351,906
"Agric., ganadería, caza y silvicultura (001)",8892,1719,18,5210,1580,81,135,53,96
"Explotación de minas y canteras (003)",245,20,,125,62,9,4,7,18
"Industrias manufactureras (004)",513,21,,199,187,23,45,13,25
"Suministro de electricidad, gas y agua (005)",73,2,,5,18,6,28,2,12
"Construcción (006)",836,73,,382,269,26,40,14,32
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1661,135,,536,564,102,187,63,74
"Venta, mant.y rep. veh.autom.y motoc. (008)",140,1,,23,52,18,30,5,11
"Comercio al por mayor (009)",88,3,,22,35,8,12,5,3
"Comercio al por menor (010)",1433,131,,491,477,76,145,53,60
"Hoteles y restaurantes (011)",522,50,1,178,181,29,41,16,26
"Trans., almac. y comunicaciones (012)",677,8,,161,367,46,51,23,21
"Intermediación financiera (013)",36,,,1,2,,8,6,19
"Activid.inmobil., empres. y de alquiler (014)",288,4,1,19,78,18,63,24,81
"Admin.pub. y defensa; p. segur.soc.afil (015)",605,25,1,98,138,38,134,39,132
"Enseñanza (016)",834,,,5,46,57,399,62,265
"Servicios sociales y de salud (017)",212,,,5,16,20,73,18,80
"Otras activ. serv.comun.soc y personales (018)",215,23,,65,56,26,21,8,16
"Hogares privados con servicio doméstico (019)",215,29,1,114,48,14,6,2,1
"Actividad economica no especificada (021)",273,74,,134,44,5,7,1,8
"Hombres (022)",11691,1397,15,5632,2849,317,672,244,565
"Agric., ganadería, caza y silvicultura (023)",7297,1223,14,4367,1383,71,108,47,84
"Explotación de minas y canteras (025)",234,20,,122,61,8,4,6,13
"Industrias manufactureras (026)",424,19,,170,159,18,33,11,14
"Suministro de electricidad, gas y agua (027)",69,2,,5,17,5,27,2,11
"Construcción (028)",814,66,,377,264,25,39,13,30
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",758,23,,215,297,51,89,41,42
"Venta, mant.y rep. veh.autom.y motoc. (030)",131,1,,21,48,18,27,5,11
"Comercio al por mayor (031)",57,,,13,24,8,6,4,2
"Comercio al por menor (032)",570,22,,181,225,25,56,32,29
"Hoteles y restaurantes (033)",126,,,31,56,10,12,7,10
"Trans., almac. y comunicaciones (034)",643,8,,158,352,45,43,19,18
"Intermediación financiera (035)",17,,,1,2,,2,4,8
"Activid.inmobil., empres. y de alquiler (036)",232,4,1,19,69,13,42,18,66
"Admin.pub. y defensa; p. segur.soc.afil (037)",426,15,,77,110,27,72,33,92
"Enseñanza (038)",362,,,3,14,21,162,31,131
"Servicios sociales y de salud (039)",82,,,2,8,7,23,9,33
"Otras activ. serv.comun.soc y personales (040)",119,7,,36,36,15,12,3,10
"Hogares privados con servicio doméstico (041)",5,1,,3,1,,,,
"Actividad economica no especificada (043)",83,9,,46,20,1,4,,3
"Mujeres (044)",4406,786,7,1605,807,183,570,107,341
"Agric., ganadería, caza y silvicultura (045)",1595,496,4,843,197,10,27,6,12
"Explotación de minas y canteras (047)",11,,,3,1,1,,1,5
