"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia HUAMANGA (000)",109551,92757,16794
"De 3 a 5 años (001)",15184,1613,13571
"De 6 a 11 años (002)",31191,28671,2520
"De 12 a 16 años (003)",26562,26371,191
"De 17 a 24 años (004)",36614,36102,512
"Hombres (005)",54878,46401,8477
"De 3 a 5 años (006)",7780,824,6956
"De 6 a 11 años (007)",15866,14557,1309
"De 12 a 16 años (008)",13129,13049,80
"De 17 a 24 años (009)",18103,17971,132
"Mujeres (010)",54673,46356,8317
"De 3 a 5 años (011)",7404,789,6615
"De 6 a 11 años (012)",15325,14114,1211
"De 12 a 16 años (013)",13433,13322,111
"De 17 a 24 años (014)",18511,18131,380
,,,
"URBANA (015)",79435,68967,10468
"De 3 a 5 años (016)",10098,1234,8864
"De 6 a 11 años (017)",21391,20036,1355
"De 12 a 16 años (018)",19194,19115,79
"De 17 a 24 años (019)",28752,28582,170
"Hombres (020)",39588,34260,5328
"De 3 a 5 años (021)",5151,634,4517
"De 6 a 11 años (022)",10849,10135,714
"De 12 a 16 años (023)",9403,9363,40
"De 17 a 24 años (024)",14185,14128,57
"Mujeres (025)",39847,34707,5140
"De 3 a 5 años (026)",4947,600,4347
"De 6 a 11 años (027)",10542,9901,641
"De 12 a 16 años (028)",9791,9752,39
"De 17 a 24 años (029)",14567,14454,113
,,,
"RURAL (030)",30116,23790,6326
"De 3 a 5 años (031)",5086,379,4707
"De 6 a 11 años (032)",9800,8635,1165
"De 12 a 16 años (033)",7368,7256,112
"De 17 a 24 años (034)",7862,7520,342
"Hombres (035)",15290,12141,3149
"De 3 a 5 años (036)",2629,190,2439
"De 6 a 11 años (037)",5017,4422,595
"De 12 a 16 años (038)",3726,3686,40
"De 17 a 24 años (039)",3918,3843,75
"Mujeres (040)",14826,11649,3177
"De 3 a 5 años (041)",2457,189,2268
"De 6 a 11 años (042)",4783,4213,570
"De 12 a 16 años (043)",3642,3570,72
"De 17 a 24 años (044)",3944,3677,267
