"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia YAUYOS (000)",12764,155,3255,4363,3317,1674
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",82,,11,34,31,6
"Profes., científicos e intelectuales (002)",1006,,198,563,231,14
"Técnicos de nivel medio y trab. asimilados (003)",318,,90,125,93,10
"Jefes y empleados de oficina (004)",319,,118,114,82,5
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",808,9,216,281,226,76
"Agricult. trabaj. calif.agrop. y pesqueros (006)",4391,15,625,1208,1448,1095
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1076,,358,521,175,22
"Obreros construc., conf., papel, fab., instr. (008)",739,1,180,354,182,22
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",3702,130,1379,1051,765,377
"Otra (010)",49,,9,31,9,
"Ocupación no especificada (011)",274,,71,81,75,47
"Hombres (012)",8543,87,2250,3042,2151,1013
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",65,,5,25,29,6
"Profes., científicos e intelectuales (014)",567,,92,298,165,12
"Técnicos de nivel medio y trab. asimilados (015)",255,,68,99,80,8
"Jefes y empleados de oficina (016)",199,,52,75,67,5
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",319,2,79,115,85,38
"Agricult. trabaj. calif.agrop. y pesqueros (018)",3179,9,438,942,1015,775
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",1044,,344,513,171,16
"Obreros construc., conf., papel, fab., instr. (020)",704,1,166,342,175,20
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",2070,75,970,575,331,119
"Otra (022)",48,,8,31,9,
"Ocupación no especificada (023)",93,,28,27,24,14
"Mujeres (024)",4221,68,1005,1321,1166,661
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",17,,6,9,2,
"Profes., científicos e intelectuales (026)",439,,106,265,66,2
"Técnicos de nivel medio y trab. asimilados (027)",63,,22,26,13,2
"Jefes y empleados de oficina (028)",120,,66,39,15,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",489,7,137,166,141,38
"Agricult. trabaj. calif.agrop. y pesqueros (030)",1212,6,187,266,433,320
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",32,,14,8,4,6
"Obreros construc., conf., papel, fab., instr. (032)",35,,14,12,7,2
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",1632,55,409,476,434,258
