"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PACHITEA (000)",59944,8258,51686
"Casa independiente (001)",56059,7968,48091
"Departamento en edificio (002)",52,52,
"Vivienda en quinta (003)",75,75,
"Vivienda en casa de vecindad (004)",161,161,
"Choza o cabaña (005)",3579,,3579
"Local no dest.para hab. humana (007)",13,2,11
"Otro tipo (008)",5,,5
