"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MOHO (000)",11279,10431,450,112,286
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",22,,2,,20
"Profes., científicos e intelectuales (002)",322,106,99,72,45
"Técnicos de nivel medio y trab. asimilados (003)",51,24,4,3,20
"Jefes y empleados de oficina (004)",135,10,6,5,114
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",481,460,13,6,2
"Agricult.trabaj.calif.agrop.y pesqueros (006)",5074,4987,87,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",163,145,13,2,3
"Obreros construc.,conf.,papel, fab., instr. (008)",182,147,19,1,15
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4605,4376,191,17,21
"Otra (010)",39,,,,39
"Ocupación no especificada (011)",205,176,16,6,7
"Hombres (012)",6234,5616,307,92,219
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",17,,2,,15
"Profes., científicos e intelectuales (014)",233,73,75,58,27
"Técnicos de nivel medio y trab. asimilados (015)",40,22,3,3,12
"Jefes y empleados de oficina (016)",98,6,5,4,83
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",188,177,6,3,2
"Agricult.trabaj.calif.agrop.y pesqueros (018)",3357,3292,65,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",123,108,10,2,3
"Obreros construc.,conf.,papel, fab., instr. (020)",180,145,19,1,15
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1871,1724,111,16,20
"Otra (022)",39,,,,39
"Ocupación no especificada (023)",88,69,11,5,3
"Mujeres (024)",5045,4815,143,20,67
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",5,,,,5
"Profes., científicos e intelectuales (026)",89,33,24,14,18
"Técnicos de nivel medio y trab. asimilados (027)",11,2,1,,8
"Jefes y empleados de oficina (028)",37,4,1,1,31
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",293,283,7,3,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1717,1695,22,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",40,37,3,,
"Obreros construc.,conf.,papel, fab., instr. (032)",2,2,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",2734,2652,80,1,1
"Ocupación no especificada (035)",117,107,5,1,4
