"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANCA SANCOS (000)",4027,3968,1023,454,529,405,679,435,255,188,59,12778
"De 12 a 14 años (001)",389,385,383,1,1,,,,,,4,3
"De 15 a 19 años (002)",413,410,359,50,1,,,,,,3,52
"De 20 a 24 años (003)",364,347,103,150,79,14,,1,,,17,357
"De 25 a 29 años (004)",349,335,50,83,123,59,18,2,,,14,596
"De 30 a 34 años (005)",339,329,27,63,92,71,67,8,1,,10,804
"De 35 a 39 años (006)",359,357,17,27,71,76,117,40,7,2,2,1243
"De 40 a 44 años (007)",338,337,18,16,46,50,117,60,23,7,1,1421
"De 45 a 49 años (008)",283,280,9,13,28,33,84,61,42,10,3,1390
"De 50 y más años (009)",1193,1188,57,51,88,102,276,263,182,169,5,6912
"Sin nivel (010)",935,929,66,48,85,93,212,169,146,110,6,5007
"De 12 a 14 años (011)",2,2,2,,,,,,,,,
"De 15 a 19 años (012)",5,5,4,1,,,,,,,,1
"De 20 a 24 años (013)",14,13,6,2,3,1,,1,,,1,18
"De 25 a 29 años (014)",22,21,4,4,4,6,3,,,,1,45
"De 30 a 34 años (015)",37,36,5,6,7,9,7,2,,,1,90
"De 35 a 39 años (016)",44,44,3,3,3,13,15,6,,1,,161
"De 40 a 44 años (017)",82,81,5,5,9,8,23,19,8,4,1,379
"De 45 a 49 años (018)",81,80,2,4,9,4,23,14,22,2,1,434
"De 50 y más años (019)",648,647,35,23,50,52,141,127,116,103,1,3879
"Educacion Inicial (020)",10,10,3,3,1,2,1,,,,,16
"De 12 a 14 años (021)",1,1,1,,,,,,,,,
"De 15 a 19 años (022)",1,1,1,,,,,,,,,
"De 20 a 24 años (023)",1,1,,1,,,,,,,,1
