"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CANTA (000)",3746,3570,12,734,729,616,779,414,204,82,176,12751
"De 12 a 14 años (001)",3,,,,,,,,,,3,
"De 15 a 19 años (002)",98,87,3,73,10,,1,,,,11,97
"De 20 a 24 años (003)",374,325,3,238,63,18,2,1,,,49,433
"De 25 a 29 años (004)",424,394,,158,154,65,17,,,,30,734
"De 30 a 34 años (005)",408,392,,76,146,100,64,5,1,,16,984
"De 35 a 39 años (006)",398,384,1,39,97,108,113,22,4,,14,1217
"De 40 a 44 años (007)",340,327,,22,61,83,102,48,7,4,13,1255
"De 45 a 49 años (008)",305,298,,29,40,64,92,45,23,5,7,1237
"De 50 y más años (009)",1396,1363,5,99,158,178,388,293,169,73,33,6794
"Sin nivel (010)",464,457,,43,61,66,139,81,45,22,7,2114
"De 15 a 19 años (012)",1,1,,1,,,,,,,,1
"De 20 a 24 años (013)",4,4,,2,1,,,1,,,,10
"De 25 a 29 años (014)",23,22,,9,8,2,3,,,,1,43
"De 30 a 34 años (015)",41,40,,5,17,6,11,,1,,1,114
"De 35 a 39 años (016)",39,39,,3,6,7,18,3,2,,,148
"De 40 a 44 años (017)",44,44,,3,2,11,16,8,2,2,,201
"De 45 a 49 años (018)",35,35,,7,1,8,9,7,3,,,140
"De 50 y más años (019)",277,272,,13,26,32,82,62,37,20,5,1457
"Educacion Inicial (020)",5,5,,1,2,1,,1,,,,14
"De 20 a 24 años (023)",2,2,,1,1,,,,,,,3
"De 30 a 34 años (025)",2,2,,,1,1,,,,,,5
"De 35 a 39 años (026)",1,1,,,,,,1,,,,6
"Primaria (030)",1408,1375,6,178,200,216,364,239,120,52,33,5956
