"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ZARUMILLA (000)",15599,3789,2339,8031,344,702,394
"Agric., ganadería, caza y silvicultura (001)",2467,12,627,1493,74,261,
"Pesca (002)",468,51,311,73,19,14,
"Explotación de minas y canteras (003)",25,10,8,7,,,
"Industrias manufactureras (004)",591,36,149,363,26,17,
"Suministro de electricidad, gas y agua (005)",20,9,10,1,,,
"Construcción (006)",807,46,524,215,18,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3789,978,56,2342,126,287,
"Venta, mant.y rep. veh.autom.y motoc. (008)",180,25,27,114,10,4,
"Comercio al por mayor (009)",187,75,15,72,9,16,
"Comercio al por menor (010)",3422,878,14,2156,107,267,
"Hoteles y restaurantes (011)",904,325,33,479,35,32,
"Trans., almac. y comunicaciones (012)",3140,247,404,2426,23,40,
"Intermediación financiera (013)",26,22,,4,,,
"Activid.inmobil., empres. y alquileres (014)",401,325,29,45,2,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",682,630,52,,,,
"Enseñanza (016)",642,582,,58,2,,
"Servicios sociales y de salud (017)",144,121,4,17,1,1,
"Otras activ. serv.comun.soc y personales (018)",510,221,52,219,7,11,
"Hogares privados con servicio doméstico (019)",394,,,,,,394
"Actividad economica no especificada (021)",589,174,80,289,11,35,
"Hombres (022)",11487,2287,2188,6335,268,384,25
"Agric., ganadería, caza y silvicultura (023)",2360,12,604,1451,71,222,
"Pesca (024)",459,48,307,71,19,14,
"Explotación de minas y canteras (025)",23,10,8,5,,,
"Industrias manufactureras (026)",476,28,123,288,24,13,
"Suministro de electricidad, gas y agua (027)",20,9,10,1,,,
"Construcción (028)",791,44,513,212,18,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2161,520,55,1431,84,71,
"Venta, mant.y rep. veh.autom.y motoc. (030)",166,20,27,108,9,2,
"Comercio al por mayor (031)",112,40,15,49,5,3,
"Comercio al por menor (032)",1883,460,13,1274,70,66,
"Hoteles y restaurantes (033)",300,125,18,135,17,5,
"Trans., almac. y comunicaciones (034)",3066,222,398,2389,21,36,
"Intermediación financiera (035)",22,22,,,,,
"Activid.inmobil., empres. y alquileres (036)",332,269,26,35,2,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",507,485,22,,,,
"Enseñanza (038)",255,237,,17,1,,
"Servicios sociales y de salud (039)",51,38,1,11,1,,
"Otras activ. serv.comun.soc y personales (040)",323,127,50,133,5,8,
"Hogares privados con servicio doméstico (041)",25,,,,,,25
"Actividad economica no especificada (043)",316,91,53,156,5,11,
"Mujeres (044)",4112,1502,151,1696,76,318,369
"Agric., ganadería, caza y silvicultura (045)",107,,23,42,3,39,
"Pesca (046)",9,3,4,2,,,
"Explotación de minas y canteras (047)",2,,,2,,,
"Industrias manufactureras (048)",115,8,26,75,2,4,
"Construcción (050)",16,2,11,3,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1628,458,1,911,42,216,
"Venta, mant.y rep. veh.autom.y motoc. (052)",14,5,,6,1,2,
"Comercio al por mayor (053)",75,35,,23,4,13,
"Comercio al por menor (054)",1539,418,1,882,37,201,
"Hoteles y restaurantes (055)",604,200,15,344,18,27,
"Trans., almac. y comunicaciones (056)",74,25,6,37,2,4,
"Intermediación financiera (057)",4,,,4,,,
"Activid.inmobil., empres. y alquileres (058)",69,56,3,10,,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",175,145,30,,,,
"Enseñanza (060)",387,345,,41,1,,
"Servicios sociales y de salud (061)",93,83,3,6,,1,
"Otras activ. serv.comun.soc y personales (062)",187,94,2,86,2,3,
"Hogares privados con servicio doméstico (063)",369,,,,,,369
"Actividad economica no especificada (065)",273,83,27,133,6,24,
,,,,,,,
"URBANA (066)",14268,3685,2076,7228,332,569,378
"Agric., ganadería, caza y silvicultura (067)",1497,10,420,868,67,132,
"Pesca (068)",430,51,304,47,14,14,
"Explotación de minas y canteras (069)",25,10,8,7,,,
"Industrias manufactureras (070)",571,35,139,354,26,17,
"Suministro de electricidad, gas y agua (071)",20,9,10,1,,,
"Construcción (072)",774,46,499,207,18,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",3732,974,54,2293,126,285,
"Venta, mant.y rep. veh.autom.y motoc. (074)",171,25,26,106,10,4,
"Comercio al por mayor (075)",187,75,15,72,9,16,
"Comercio al por menor (076)",3374,874,13,2115,107,265,
"Hoteles y restaurantes (077)",887,321,32,467,35,32,
"Trans., almac. y comunicaciones (078)",3075,243,398,2371,23,40,
"Intermediación financiera (079)",26,22,,4,,,
"Activid.inmobil., empres. y alquileres (080)",377,303,27,45,2,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",664,613,51,,,,
"Enseñanza (082)",607,552,,53,2,,
"Servicios sociales y de salud (083)",139,116,4,17,1,1,
"Otras activ. serv.comun.soc y personales (084)",493,210,52,214,7,10,
"Hogares privados con servicio doméstico (085)",378,,,,,,378
"Actividad economica no especificada (087)",573,170,78,280,11,34,
"Hombres (088)",10301,2219,1933,5591,256,278,24
"Agric., ganadería, caza y silvicultura (089)",1436,10,402,842,64,118,
"Pesca (090)",421,48,300,45,14,14,
"Explotación de minas y canteras (091)",23,10,8,5,,,
"Industrias manufactureras (092)",456,27,113,279,24,13,
"Suministro de electricidad, gas y agua (093)",20,9,10,1,,,
"Construcción (094)",758,44,488,204,18,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",2131,518,53,1406,84,70,
"Venta, mant.y rep. veh.autom.y motoc. (096)",158,20,26,101,9,2,
"Comercio al por mayor (097)",112,40,15,49,5,3,
"Comercio al por menor (098)",1861,458,12,1256,70,65,
"Hoteles y restaurantes (099)",295,123,18,132,17,5,
"Trans., almac. y comunicaciones (100)",3001,218,392,2334,21,36,
"Intermediación financiera (101)",22,22,,,,,
"Activid.inmobil., empres. y alquileres (102)",310,248,25,35,2,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",494,473,21,,,,
"Enseñanza (104)",241,223,,17,1,,
"Servicios sociales y de salud (105)",49,36,1,11,1,,
"Otras activ. serv.comun.soc y personales (106)",315,122,50,131,5,7,
"Hogares privados con servicio doméstico (107)",24,,,,,,24
"Actividad economica no especificada (109)",305,88,52,149,5,11,
"Mujeres (110)",3967,1466,143,1637,76,291,354
"Agric., ganadería, caza y silvicultura (111)",61,,18,26,3,14,
"Pesca (112)",9,3,4,2,,,
"Explotación de minas y canteras (113)",2,,,2,,,
"Industrias manufactureras (114)",115,8,26,75,2,4,
"Construcción (116)",16,2,11,3,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1601,456,1,887,42,215,
"Venta, mant.y rep. veh.autom.y motoc. (118)",13,5,,5,1,2,
"Comercio al por mayor (119)",75,35,,23,4,13,
"Comercio al por menor (120)",1513,416,1,859,37,200,
"Hoteles y restaurantes (121)",592,198,14,335,18,27,
