"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LEONCIO PRADO (000)",116965,2186,37059,33599,23401,15743,4977
"Hombres (001)",61193,1137,19218,17569,12051,8583,2635
"Mujeres (002)",55772,1049,17841,16030,11350,7160,2342
"Viviendas particulares (003)",114713,2173,36876,32418,22799,15494,4953
"Hombres (004)",59450,1131,19117,16604,11596,8378,2624
"Mujeres (005)",55263,1042,17759,15814,11203,7116,2329
"Viviendas colectivas (006)",1877,8,156,1035,475,186,17
"Hombres (007)",1474,4,84,867,357,157,5
"Mujeres (008)",403,4,72,168,118,29,12
"Otro tipo (009)",375,5,27,146,127,63,7
"Hombres (010)",269,2,17,98,98,48,6
"Mujeres (011)",106,3,10,48,29,15,1
,,,,,,,
"URBANA (012)",68747,1281,20254,20390,14158,9739,2925
"Hombres (013)",34446,658,10364,10186,6813,5014,1411
"Mujeres (014)",34301,623,9890,10204,7345,4725,1514
"Viviendas particulares (015)",66676,1268,20104,19332,13575,9496,2901
"Hombres (016)",32857,652,10284,9334,6374,4813,1400
"Mujeres (017)",33819,616,9820,9998,7201,4683,1501
"Viviendas colectivas (018)",1704,8,124,914,459,182,17
"Hombres (019)",1328,4,64,756,344,155,5
"Mujeres (020)",376,4,60,158,115,27,12
"Otro tipo (021)",367,5,26,144,124,61,7
"Hombres (022)",261,2,16,96,95,46,6
"Mujeres (023)",106,3,10,48,29,15,1
,,,,,,,
"RURAL (024)",48218,905,16805,13209,9243,6004,2052
"Hombres (025)",26747,479,8854,7383,5238,3569,1224
"Mujeres (026)",21471,426,7951,5826,4005,2435,828
"Viviendas particulares (027)",48037,905,16772,13086,9224,5998,2052
"Hombres (028)",26593,479,8833,7270,5222,3565,1224
"Mujeres (029)",21444,426,7939,5816,4002,2433,828
"Viviendas colectivas (030)",173,,32,121,16,4,
"Hombres (031)",146,,20,111,13,2,
"Mujeres (032)",27,,12,10,3,2,
"Otro tipo (033)",8,,1,2,3,2,
"Hombres (034)",8,,1,2,3,2,
