"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia HUANTA (000)",93360,46378,46982,42816,20903,21913,50544,25475,25069
"Menores de 1 año (001)",1885,938,947,769,376,393,1116,562,554
"Menores de 1 mes (002)",211,112,99,85,45,40,126,67,59
"De 1 a 11 meses (003)",1674,826,848,684,331,353,990,495,495
"De 1 a 4 años (004)",9711,4974,4737,3905,2018,1887,5806,2956,2850
"1 año (005)",2137,1132,1005,836,472,364,1301,660,641
"2 años (006)",2490,1280,1210,1033,531,502,1457,749,708
"3 años (007)",2426,1210,1216,996,496,500,1430,714,716
"4 años (008)",2658,1352,1306,1040,519,521,1618,833,785
"De 5 a 9 años (009)",13058,6640,6418,5669,2895,2774,7389,3745,3644
"5 años (010)",2531,1310,1221,1069,563,506,1462,747,715
"6 años (011)",2500,1231,1269,982,484,498,1518,747,771
"7 años (012)",2780,1395,1385,1218,606,612,1562,789,773
"8 años (013)",2678,1372,1306,1190,616,574,1488,756,732
"9 años (014)",2569,1332,1237,1210,626,584,1359,706,653
"De 10 a 14 años (015)",13156,6734,6422,6328,3171,3157,6828,3563,3265
"10 años (016)",2837,1467,1370,1261,657,604,1576,810,766
"11 años (017)",2471,1227,1244,1212,579,633,1259,648,611
"12 años (018)",2954,1530,1424,1397,704,693,1557,826,731
"13 años (019)",2531,1289,1242,1271,638,633,1260,651,609
"14 años (020)",2363,1221,1142,1187,593,594,1176,628,548
"De 15 a 19 años (021)",9292,4798,4494,4743,2425,2318,4549,2373,2176
"15 años (022)",2175,1119,1056,1150,576,574,1025,543,482
"16 años (023)",1778,875,903,903,445,458,875,430,445
"17 años (024)",1850,968,882,984,513,471,866,455,411
"18 años (025)",1921,1021,900,947,509,438,974,512,462
"19 años (026)",1568,815,753,759,382,377,809,433,376
"De 20 a 24 años (027)",7738,3952,3786,3686,1822,1864,4052,2130,1922
"20 años (028)",1847,957,890,867,444,423,980,513,467
"21 años (029)",1262,623,639,628,292,336,634,331,303
"22 años (030)",1679,888,791,826,406,420,853,482,371
"23 años (031)",1465,765,700,687,360,327,778,405,373
"24 años (032)",1485,719,766,678,320,358,807,399,408
"De 25 a 29 años (033)",6777,3448,3329,3188,1573,1615,3589,1875,1714
"25 años (034)",1410,721,689,669,327,342,741,394,347
"26 años (035)",1285,673,612,624,335,289,661,338,323
"27 años (036)",1487,765,722,705,349,356,782,416,366
"28 años (037)",1482,764,718,659,313,346,823,451,372
"29 años (038)",1113,525,588,531,249,282,582,276,306
"De 30 a 34 años (039)",5823,2826,2997,2758,1284,1474,3065,1542,1523
"30 años (040)",1699,853,846,769,370,399,930,483,447
"31 años (041)",805,384,421,398,179,219,407,205,202
"32 años (042)",1215,570,645,565,245,320,650,325,325
