"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUANCAVELICA (000)",48354,875,16880,16160,11232,3207
"Agric., ganadería, caza y silvicultura (001)",24418,514,8115,7161,6143,2485
"Pesca (002)",18,,6,6,5,1
"Explotación de minas y canteras (003)",938,,391,382,153,12
"Industrias manufactureras (004)",2194,123,932,636,397,106
"Suministro de electricidad, gas y agua (005)",64,,17,28,19,
"Construcción (006)",1682,6,610,651,385,30
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3919,109,1231,1298,1025,256
"Venta, mant.y rep. veh.autom.y motoc. (008)",209,5,75,59,59,11
"Comercio al por mayor (009)",138,2,53,46,28,9
"Comercio al por menor (010)",3572,102,1103,1193,938,236
"Hoteles y restaurantes (011)",999,23,431,276,234,35
"Trans., almac. y comunicaciones (012)",1182,11,495,407,246,23
"Intermediación financiera (013)",77,,34,33,10,
"Activid.inmobil., empres. y alquileres (014)",811,,295,366,139,11
"Admin.pub. y defensa; p. segur.soc afil (015)",2205,,659,942,577,27
"Enseñanza (016)",3577,,632,2126,809,10
"Servicios sociales y de salud (017)",979,,280,483,210,6
"Otras activ. serv.comun.soc y personales (018)",710,25,268,241,156,20
"Hogares privados con servicio doméstico (019)",439,19,285,75,51,9
"Actividad economica no especificada (021)",802,4,284,255,203,56
"Desocupado (022)",3340,41,1915,794,470,120
"Hombres (023)",29967,459,10077,10017,7241,2173
"Agric., ganadería, caza y silvicultura (024)",15722,304,4967,4683,4029,1739
"Pesca (025)",15,,5,5,5,
"Explotación de minas y canteras (026)",923,,382,378,151,12
"Industrias manufactureras (027)",839,15,356,255,165,48
"Suministro de electricidad, gas y agua (028)",59,,15,26,18,
"Construcción (029)",1615,6,584,621,374,30
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1674,64,557,531,405,117
"Venta, mant.y rep. veh.autom.y motoc. (031)",187,5,69,50,53,10
"Comercio al por mayor (032)",80,1,26,28,21,4
"Comercio al por menor (033)",1407,58,462,453,331,103
"Hoteles y restaurantes (034)",374,10,200,97,59,8
"Trans., almac. y comunicaciones (035)",1112,10,450,387,242,23
"Intermediación financiera (036)",48,,19,21,8,
"Activid.inmobil., empres. y alquileres (037)",615,,208,274,122,11
"Admin.pub. y defensa; p. segur.soc afil (038)",1563,,414,663,460,26
"Enseñanza (039)",1859,,275,1066,511,7
"Servicios sociales y de salud (040)",316,,73,147,90,6
